"","Gene.Name","Diff.exp","Exp.level","percent_detected","cell.type","Approved","Suggested.Symbol"
"89","GSTA4",1.953679774,5.371995008,0.247059851,"CAFs",TRUE,"GSTA4"
"90","TNFRSF11B",1.927013062,7.27516676,0.329729911,"CAFs",TRUE,"TNFRSF11B"
"91","LIMA1",1.916055033,6.929136771,0.386532534,"CAFs",TRUE,"LIMA1"
"92","CHI3L2",1.887466311,5.275460756,0.229377067,"CAFs",TRUE,"CHI3L2"
"93","CREB3L1",1.854609015,5.128607352,0.207402449,"CAFs",TRUE,"CREB3L1"
"94","PDLIM3",1.847328159,7.699273804,0.421668452,"CAFs",TRUE,"PDLIM3"
"95","AQP1",1.757674479,6.592320837,0.332312796,"CAFs",TRUE,"AQP1"
"96","PTGIS",1.749624071,7.317116092,0.408596463,"CAFs",TRUE,"PTGIS"
"97","MEIS2",1.743666318,5.034626659,0.230197734,"CAFs",TRUE,"MEIS2"
"98","MYLK",1.739099332,5.508934912,0.214393807,"CAFs",TRUE,"MYLK"
"99","CD248",1.710734763,5.533717267,0.306424774,"CAFs",TRUE,"CD248"
"100","PCOLCE",1.699544305,6.455761172,0.230793668,"CAFs",TRUE,"PCOLCE"
"101","SLC16A1",1.69172458,5.694666485,0.270983804,"CAFs",TRUE,"SLC16A1"
"102","RGS5",1.620204642,5.54147021,0.166694596,"CAFs",TRUE,"RGS5"
"103","BMP1",1.617200023,5.489027497,0.237933066,"CAFs",TRUE,"BMP1"
"104","SPARC",1.575288257,10.80433366,0.496466786,"CAFs",TRUE,"SPARC"
"105","BGN",1.558225719,5.657893199,0.25808445,"CAFs",TRUE,"BGN"
"106","SPON2",1.54775425,6.762034365,0.279245403,"CAFs",TRUE,"SPON2"
"107","LAMA4",1.541103497,5.371736777,0.286937667,"CAFs",TRUE,"LAMA4"
"108","CALD1",1.540991339,8.137115337,0.465839512,"CAFs",TRUE,"CALD1"
"109","FBLN2",1.520773434,5.878177596,0.242181707,"CAFs",TRUE,"FBLN2"
"110","EGFL6",1.506543273,6.594886447,0.378331075,"CAFs",TRUE,"EGFL6"
"111","UPK3B",1.503671437,9.167189613,0.415638049,"CAFs",TRUE,"UPK3B"
"112","AIF1",4.007771908,11.50110545,0.749171864,"macrophages",TRUE,"AIF1"
"113","MS4A4A",3.896090597,8.988412,0.623362997,"macrophages",TRUE,"MS4A4A"
"114","MS4A6A",3.644532679,9.806007041,0.71230682,"macrophages",TRUE,"MS4A6A"
"115","LY86",3.581450565,7.427286904,0.426791651,"macrophages",TRUE,"LY86"
"116","LRRC25",3.451407349,6.17095672,0.305409697,"macrophages",TRUE,"LRRC25"
"117","PILRA",3.450682747,6.729460289,0.296687414,"macrophages",TRUE,"PILRA"
"118","STAB1",3.370420838,7.536934218,0.458647429,"macrophages",TRUE,"STAB1"
"119","VSIG4",3.29118502,9.746052897,0.676041405,"macrophages",TRUE,"VSIG4"
"120","CD14",3.286566884,11.23437115,0.741802086,"macrophages",TRUE,"CD14"
"121","CD68",3.213972315,10.08580651,0.732754229,"macrophages",TRUE,"CD68"
"122","MS4A7",3.206949753,7.28690029,0.444674769,"macrophages",TRUE,"MS4A7"
"123","SLCO2B1",3.176910525,5.758855398,0.208734956,"macrophages",TRUE,"SLCO2B1"
"124","LILRB2",3.140072357,5.205060262,0.211360571,"macrophages",TRUE,"LILRB2"
"125","CYBB",3.136297116,6.498778704,0.330219847,"macrophages",TRUE,"CYBB"
"126","ASGR1",3.124249722,6.129646941,0.323776701,"macrophages",TRUE,"ASGR1"
"127","C5AR1",3.007680467,6.243688055,0.319795348,"macrophages",TRUE,"C5AR1"
"128","CD84",3.002320302,6.509312448,0.284931111,"macrophages",TRUE,"CD84"
"129","CSF1R",2.992796434,6.399906159,0.323894575,"macrophages",TRUE,"CSF1R"
"130","FCGR1A",2.9854197,6.67393063,0.42735069,"macrophages",TRUE,"FCGR1A"
"131","CD163",2.973062504,8.375713178,0.614048419,"macrophages",TRUE,"CD163"
"132","ADAP2",2.913186866,6.585735787,0.367481904,"macrophages",TRUE,"ADAP2"
"133","C1QC",2.899628855,10.42486151,0.637644139,"macrophages",TRUE,"C1QC"
"134","IGSF6",2.81825075,6.331902907,0.251546632,"macrophages",TRUE,"IGSF6"
"135","SLC11A1",2.808250778,6.636682342,0.348272951,"macrophages",TRUE,"SLC11A1"
"136","SCIMP",2.802411727,5.490453804,0.244419623,"macrophages",TRUE,"SCIMP"
"137","CD33",2.786494276,6.128122886,0.274683598,"macrophages",TRUE,"CD33"
"138","RP11-290F20.3",2.780890578,8.089260011,0.538242316,"macrophages",FALSE,"RP11-290F20.3"
"139","FPR1",2.780189474,6.285143449,0.363586933,"macrophages",TRUE,"FPR1"
"140","NPL",2.697382305,8.076621811,0.576453695,"macrophages",TRUE,"NPL"
"141","CLEC10A",2.648462959,7.423892331,0.461393928,"macrophages",TRUE,"CLEC10A"
"142","ADORA3",2.642038834,6.985500087,0.345473635,"macrophages",TRUE,"ADORA3"
"143","HAMP",2.603180893,6.810345173,0.264871324,"macrophages",TRUE,"HAMP"
"144","CTSL",2.595247128,11.68866485,0.730579979,"macrophages",TRUE,"CTSL"
"145","CD4",2.578963306,5.322991673,0.255093658,"macrophages",TRUE,"CD4"
"146","RNASE2",2.553924621,5.027960855,0.18048807,"macrophages",TRUE,"RNASE2"
"147","FTL",2.5130971,16.69673903,0.75,"macrophages",TRUE,"FTL"
"148","C3AR1",2.504211974,7.192334677,0.450043426,"macrophages",TRUE,"C3AR1"
"149","FCGR2A",2.441124176,6.610535242,0.360718625,"macrophages",TRUE,"FCGR2A"
"150","SIGLEC1",2.436529009,5.345709898,0.197786628,"macrophages",TRUE,"SIGLEC1"
"151","SPI1",2.346956883,8.566706622,0.645928703,"macrophages",TRUE,"SPI1"
"152","C1QB",2.31634205,10.12119644,0.636436736,"macrophages",TRUE,"C1QB"
"153","GLUL",2.301121594,10.70093945,0.743188866,"macrophages",TRUE,"GLUL"
"154","PTAFR",2.263917823,5.331780274,0.167370087,"macrophages",TRUE,"PTAFR"
"155","TREM2",2.251186173,6.808849012,0.369909363,"macrophages",TRUE,"TREM2"
"156","S100A8",2.243972487,11.04290772,0.73349755,"macrophages",TRUE,"S100A8"
"157","MPEG1",2.221605215,5.222461543,0.153675948,"macrophages",TRUE,"MPEG1"
"158","ITGAM",2.199289632,5.168813755,0.161778274,"macrophages",TRUE,"ITGAM"
"159","FOLR2",2.191296928,7.352934761,0.4644472,"macrophages",TRUE,"FOLR2"
"160","HNMT",2.174515417,7.359417073,0.487765603,"macrophages",TRUE,"HNMT"
"161","GPR34",2.157963485,5.276834577,0.186716567,"macrophages",TRUE,"GPR34"
"162","C1orf54",2.147934046,5.835612467,0.228021599,"macrophages",TRUE,"C1orf54"
"163","LST1",2.09787012,8.855859213,0.676479434,"macrophages",TRUE,"LST1"
"164","MNDA",2.039252517,6.466133703,0.413406408,"macrophages",TRUE,"MNDA"
"165","FBP1",2.029626025,6.344757853,0.328005495,"macrophages",TRUE,"FBP1"
"166","CCL8",1.994921918,5.187813285,0.107946231,"macrophages",TRUE,"CCL8"
"167","C1QA",1.943545769,10.09589821,0.653549331,"macrophages",TRUE,"C1QA"
"168","CFD",1.939562536,7.815692869,0.552687534,"macrophages",TRUE,"CFD"
"169","PLEKHO2",1.932384208,5.786719288,0.199690776,"macrophages",TRUE,"PLEKHO2"
"170","IFI30",1.864219947,6.325932301,0.506963452,"macrophages",TRUE,"IFI30"
"171","CD86",1.847591237,6.217441314,0.238076468,"macrophages",TRUE,"CD86"
"172","GNA15",1.844763942,5.339578189,0.180242663,"macrophages",TRUE,"GNA15"
"173","FCGRT",1.821580004,10.39878875,0.740309359,"macrophages",TRUE,"FCGRT"
"174","LYVE1",1.764906036,5.995528102,0.385854208,"macrophages",TRUE,"LYVE1"
"175","AP1S2",1.69033057,7.94888288,0.558280443,"macrophages",TRUE,"AP1S2"
"176","CRYBB1",1.655757854,5.185138372,0.138430177,"macrophages",TRUE,"CRYBB1"
"177","LINC01094",1.621995286,5.120001423,0.22483254,"macrophages",TRUE,"LINC01094"
"178","MARCO",1.543352233,8.494385636,0.659434471,"macrophages",TRUE,"MARCO"
"179","HCK",1.510984722,6.290465359,0.378828514,"macrophages",TRUE,"HCK"
"180","LAIR1",1.5005589,6.424598798,0.361467756,"macrophages",TRUE,"LAIR1"
