"","symbol","NMF.rank","MMF.localization","SAFE.domain","SAFE.localization","Entrez","BioGRID","HGNC","RefSeq","UniProt","Approved","Suggested.Symbol"
"3592","SQSTM1",14,"Golgi apparatus","-","-",8878,114397,"HGNC:11280","NM_001142298","Q13501",TRUE,"SQSTM1"
"3593","SRBD1",9,"nucleoplasm","22","chromatin, nucleoplasm",55133,120439,"HGNC:25521","NM_018079","Q8N5C6",TRUE,"SRBD1"
"3594","SRC",11,"plasma membrane","20","cell junction, plasma membrane",6714,112592,"HGNC:11283","NM_005417","P12931",TRUE,"SRC"
"3595","SRCAP",9,"nucleoplasm","22","chromatin, nucleoplasm",10847,116058,"HGNC:16974","NM_006662","Q6ZRS2",TRUE,"SRCAP"
"3596","SRCIN1",1,"cell junction","20","cell junction, plasma membrane",80725,123275,"HGNC:29506","NM_025248","Q9C0H9",TRUE,"SRCIN1"
"3597","SREK1",10,"nuclear body","23","spliceosomal complex II",140890,126754,"HGNC:17882","NM_001077199","Q8WXA9",TRUE,"SREK1"
"3598","SRFBP1",8,"nucleolus","3","splicing speckles, nucleolus",153443,127495,"HGNC:26333","NM_152546","Q8NEF9",TRUE,"SRFBP1"
"3599","SRGAP1",12,"centrosome","10","centrosome",57522,121583,"HGNC:17382","NM_001346201","Q7Z6B7",TRUE,"SRGAP1"
"3600","SRGAP2",1,"cell junction","-","-",23380,116956,"HGNC:19751","NM_015326","O75044",TRUE,"SRGAP2"
"3601","SRP54",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",6729,112607,"HGNC:11301","NM_003136","P61011",TRUE,"SRP54"
"3602","SRP72",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",6731,112609,"HGNC:11303","NM_001267722","O76094",TRUE,"SRP72"
"3603","SRPK1",16,"cytoplasmic ribonucleoprotein granule","1","no prediction",6732,112610,"HGNC:11305","NM_003137","Q96SB4",TRUE,"SRPK1"
"3604","SRPK2",5,"actin cytoskeleton, cytosol","1","no prediction",6733,112611,"HGNC:11306","NM_182691","P78362",TRUE,"SRPK2"
"3605","SRPRA",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",6734,112612,"HGNC:11307","NM_003139","P08240",TRUE,"SRPRA"
"3606","SRPRB",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",58477,121810,"HGNC:24085","NM_021203","Q9Y5M8",TRUE,"SRPRB"
"3607","SRRM1",10,"nuclear body","3","splicing speckles, nucleolus",10250,115544,"HGNC:16638","NM_005839","Q8IYB3",TRUE,"SRRM1"
"3608","SRRM2",10,"nuclear body","3","splicing speckles, nucleolus",23524,117071,"HGNC:16639","NM_016333","Q9UQ35",TRUE,"SRRM2"
"3609","SRRT",10,"nuclear body","1","no prediction",51593,119626,"HGNC:24101","NM_015908","Q9BXP5",TRUE,"SRRT"
"3610","SRSF10",10,"nuclear body","22","chromatin, nucleoplasm",10772,115990,"HGNC:16713","NM_006625","O75494",TRUE,"SRSF10"
"3611","SRSF11",10,"nuclear body","3","splicing speckles, nucleolus",9295,114709,"HGNC:10782","NM_004768","Q05519",TRUE,"SRSF11"
"3612","SRSF2",2,"chromatin","-","-",6427,112325,"HGNC:10783","NM_003016","Q01130",TRUE,"SRSF2"
"3613","SRSF3",10,"nuclear body","1","no prediction",6428,112326,"HGNC:10785","NM_003017","P84103",TRUE,"SRSF3"
"3614","SRSF4",10,"nuclear body","22","chromatin, nucleoplasm",6429,112327,"HGNC:10786","NM_005626","Q08170",TRUE,"SRSF4"
"3615","SRSF6",10,"nuclear body","23","spliceosomal complex II",6431,112329,"HGNC:10788","NM_006275","Q13247",TRUE,"SRSF6"
"3616","SRSF7",10,"nuclear body","22","chromatin, nucleoplasm",6432,112330,"HGNC:10789","NM_001031684","Q16629",TRUE,"SRSF7"
"3617","SRSF9",10,"nuclear body","8","paraspeckles",8683,114231,"HGNC:10791","NM_003769","Q13242",TRUE,"SRSF9"
"3618","SSB",2,"chromatin","22","chromatin, nucleoplasm",6741,112619,"HGNC:11316","NM_003142","P05455",TRUE,"SSB"
"3619","SSBP1",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",6742,112620,"HGNC:11317","NM_003143","Q04837",TRUE,"SSBP1"
"3620","SSFA2",15,"nuclear outer membrane-ER membrane network","1","no prediction",NA,NA,"","","",FALSE,"ITPRID2"
"3621","SSH2",19,"miscellaneous","1","no prediction",85464,124548,"HGNC:30580","NM_033389","Q76I76",TRUE,"SSH2"
"3622","SSR1",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",6745,112623,"HGNC:11323","NM_001292008","P43307",TRUE,"SSR1"
"3623","SSR3",15,"nuclear outer membrane-ER membrane network","1","no prediction",6747,112625,"HGNC:11325","NM_007107","Q9UNL2",TRUE,"SSR3"
"3624","SSR4",9,"nucleoplasm","-","-",6748,112626,"HGNC:11326","NM_006280","P51571",TRUE,"SSR4"
"3625","SSRP1",2,"chromatin","22","chromatin, nucleoplasm",6749,112627,"HGNC:11327","NM_003146","Q08945",TRUE,"SSRP1"
"3626","SSX2IP",12,"centrosome","10","centrosome",117178,125567,"HGNC:16509","NM_014021","Q9Y2D8",TRUE,"SSX2IP"
"3627","ST13",19,"miscellaneous","1","no prediction",6767,112644,"HGNC:11343","NM_003932","P50502",TRUE,"ST13"
"3628","ST7",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",7982,113695,"HGNC:11351","NM_021908","Q9NRC1",TRUE,"ST7"
"3629","STAG1",2,"chromatin","1","no prediction",10274,115564,"HGNC:11354","NM_005862","Q8WVM7",TRUE,"STAG1"
"3630","STAG2",9,"nucleoplasm","22","chromatin, nucleoplasm",10735,115958,"HGNC:11355","NM_006603","Q8N3U4",TRUE,"STAG2"
"3631","STAM",14,"Golgi apparatus","9","Golgi apparatus",8027,113722,"HGNC:11357","NM_003473","Q92783",TRUE,"STAM"
"3632","STAM2",14,"Golgi apparatus","9","Golgi apparatus",10254,115548,"HGNC:11358","NM_005843","O75886",TRUE,"STAM2"
"3633","STARD3",7,"endosome, lysosome","18","endosome, lysosome",10948,116148,"HGNC:17579","NM_001165937","Q14849",TRUE,"STARD3"
"3634","STARD7",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",56910,121238,"HGNC:18063","NM_020151","Q9NQZ5",TRUE,"STARD7"
"3635","STAT2",5,"actin cytoskeleton, cytosol","1","no prediction",6773,112650,"HGNC:11363","NM_005419","P52630",TRUE,"STAT2"
