"","category","marker","Approved","Suggested.Symbol"
"101","cat2","CHMP6",TRUE,"CHMP6"
"102","cat2","PDCD6IP",TRUE,"PDCD6IP"
"103","cat2","FLOT1",TRUE,"FLOT1"
"104","cat2","FLOT2",TRUE,"FLOT2"
"105","cat2","CAV1",TRUE,"CAV1"
"106","cat2","CAV2",TRUE,"CAV2"
"107","cat2","CAV3",TRUE,"CAV3"
"108","cat2","EHD1",TRUE,"EHD1"
"109","cat2","EHD2",TRUE,"EHD2"
"110","cat2","EHD3",TRUE,"EHD3"
"111","cat2","EHD4",TRUE,"EHD4"
"112","cat2","RHOA",TRUE,"RHOA"
"113","cat2","ANXA1",TRUE,"ANXA1"
"114","cat2","ANXA2",TRUE,"ANXA2"
"115","cat2","ANXA3",TRUE,"ANXA3"
"116","cat2","ANXA4",TRUE,"ANXA4"
"117","cat2","ANXA5",TRUE,"ANXA5"
"118","cat2","ANXA6",TRUE,"ANXA6"
"119","cat2","ANXA7",TRUE,"ANXA7"
"120","cat2","ANXA8",TRUE,"ANXA8"
"121","cat2","ANXA9",TRUE,"ANXA9"
"122","cat2","ANXA11",TRUE,"ANXA11"
"123","cat2","ANXA13",TRUE,"ANXA13"
"124","cat2","HSPA8",TRUE,"HSPA8"
"125","cat2","HSP90AB1",TRUE,"HSP90AB1"
"126","cat2","ARF6",TRUE,"ARF6"
"127","cat2","SDCBP",TRUE,"SDCBP"
"128","cat2","MAPT",TRUE,"MAPT"
"129","cat2","HSPA1A",TRUE,"HSPA1A"
"130","cat2","ACTB",TRUE,"ACTB"
"131","cat2","ACTA1",TRUE,"ACTA1"
"132","cat2","ACTA2",TRUE,"ACTA2"
"133","cat2","ACTG1",TRUE,"ACTG1"
"134","cat2","ACTG2",TRUE,"ACTG2"
"135","cat2","ACTC1",TRUE,"ACTC1"
"136","cat2","TUBA1A",TRUE,"TUBA1A"
"137","cat2","TUBA1B",TRUE,"TUBA1B"
"138","cat2","TUBA1C",TRUE,"TUBA1C"
"139","cat2","TUBA3C",TRUE,"TUBA3C"
"140","cat2","TUBA3D",TRUE,"TUBA3D"
"141","cat2","TUBA3E",TRUE,"TUBA3E"
"142","cat2","TUBA4A",TRUE,"TUBA4A"
"143","cat2","TUBA8",TRUE,"TUBA8"
"144","cat2","TUBB",TRUE,"TUBB"
"145","cat2","TUBB1",TRUE,"TUBB1"
"146","cat2","TUBB2A",TRUE,"TUBB2A"
"147","cat2","TUBB2B",TRUE,"TUBB2B"
"148","cat2","TUBB3",TRUE,"TUBB3"
"149","cat2","TUBB4A",TRUE,"TUBB4A"
"150","cat2","TUBB4B",TRUE,"TUBB4B"
"151","cat2","TUBB6",TRUE,"TUBB6"
"152","cat2","TUBB8",TRUE,"TUBB8"
"153","cat2","TUBB8B",TRUE,"TUBB8B"
"154","cat2","TUBG1",TRUE,"TUBG1"
"155","cat2","TUBD1",TRUE,"TUBD1"
"156","cat2","GAPDH",TRUE,"GAPDH"
"157","cat3","APOA1",TRUE,"APOA1"
"158","cat3","APOA2",TRUE,"APOA2"
"159","cat3","APOB",TRUE,"APOB"
"160","cat3","APOB100",FALSE,"APOB100"
"161","cat3","ALB",TRUE,"ALB"
"162","cat3","UMOD",TRUE,"UMOD"
"163","cat4","H1-0",TRUE,"H1-0"
"164","cat4","H1-1",TRUE,"H1-1"
"165","cat4","H1-2",TRUE,"H1-2"
"166","cat4","H1-3",TRUE,"H1-3"
"167","cat4","H1-4",TRUE,"H1-4"
"168","cat4","H1-5",TRUE,"H1-5"
"169","cat4","H1-6",TRUE,"H1-6"
"170","cat4","H1-7",TRUE,"H1-7"
"171","cat4","H1-8",TRUE,"H1-8"
"172","cat4","H1-9P",TRUE,"H1-9P"
"173","cat4","H1-10",TRUE,"H1-10"
"174","cat4","H1-12P",TRUE,"H1-12P"
"175","cat4","H2AB1",TRUE,"H2AB1"
"176","cat4","H2AB2",TRUE,"H2AB2"
"177","cat4","H2AB3",TRUE,"H2AB3"
"178","cat4","H2AC1",TRUE,"H2AC1"
"179","cat4","H2AC2P",TRUE,"H2AC2P"
"180","cat4","H2AC3P",TRUE,"H2AC3P"
"181","cat4","H2AC4",TRUE,"H2AC4"
"182","cat4","H2AC5P",TRUE,"H2AC5P"
"183","cat4","H2AC6",TRUE,"H2AC6"
"184","cat4","H2AC7",TRUE,"H2AC7"
"185","cat4","H2AC8",TRUE,"H2AC8"
"186","cat4","H2AC9P",TRUE,"H2AC9P"
"187","cat4","H2AC10P",TRUE,"H2AC10P"
"188","cat4","H2AC11",TRUE,"H2AC11"
"189","cat4","H2AC12",TRUE,"H2AC12"
"190","cat4","H2AC13",TRUE,"H2AC13"
"191","cat4","H2AC14",TRUE,"H2AC14"
"192","cat4","H2AC15",TRUE,"H2AC15"
"193","cat4","H2AC16",TRUE,"H2AC16"
"194","cat4","H2AC17",TRUE,"H2AC17"
"195","cat4","H2AC18",TRUE,"H2AC18"
"196","cat4","H2AC19",TRUE,"H2AC19"
"197","cat4","H2AC20",TRUE,"H2AC20"
"198","cat4","H2AC21",TRUE,"H2AC21"
"199","cat4","H2AJ",TRUE,"H2AJ"
"200","cat4","H2AL1MP",TRUE,"H2AL1MP"
"201","cat4","H2AL1Q",TRUE,"H2AL1Q"
"202","cat4","H2AL3",TRUE,"H2AL3"
"203","cat4","H2AP",TRUE,"H2AP"
"204","cat4","H2AQ1P",TRUE,"H2AQ1P"
"205","cat4","H2AW",FALSE,"H2AC25"
"206","cat4","H2AX",TRUE,"H2AX"
"207","cat4","H2AZ1",TRUE,"H2AZ1"
"208","cat4","H2AZ2",TRUE,"H2AZ2"
"209","cat4","MACROH2A1",TRUE,"MACROH2A1"
"210","cat4","MACROH2A2",TRUE,"MACROH2A2"
"211","cat4","H2BC1",TRUE,"H2BC1"
"212","cat4","H2BC2P",TRUE,"H2BC2P"
"213","cat4","H2BC3",TRUE,"H2BC3"
"214","cat4","H2BC4",TRUE,"H2BC4"
"215","cat4","H2BC5",TRUE,"H2BC5"
"216","cat4","H2BC6",TRUE,"H2BC6"
"217","cat4","H2BC7",TRUE,"H2BC7"
"218","cat4","H2BC8",TRUE,"H2BC8"
"219","cat4","H2BC9",TRUE,"H2BC9"
"220","cat4","H2BC10",TRUE,"H2BC10"
"221","cat4","H2BC11",TRUE,"H2BC11"
"222","cat4","H2BC12",TRUE,"H2BC12"
"223","cat4","H2BC13",TRUE,"H2BC13"
"224","cat4","H2BC14",TRUE,"H2BC14"
"225","cat4","H2BC15",TRUE,"H2BC15"
"226","cat4","H2BC16P",TRUE,"H2BC16P"
"227","cat4","H2BC17",TRUE,"H2BC17"
"228","cat4","H2BC18",TRUE,"H2BC18"
"229","cat4","H2BC19P",TRUE,"H2BC19P"
"230","cat4","H2BC20P",TRUE,"H2BC20P"
"231","cat4","H2BC21",TRUE,"H2BC21"
"232","cat4","H2BE1",FALSE,"H2BK1"
"233","cat4","H2BS1",FALSE,"H2BC12L"
"234","cat4","H2BU1",FALSE,"H2BC26"
"235","cat4","H2BU2P",FALSE,"H2BC27P"
"236","cat4","H2BW1",TRUE,"H2BW1"
"237","cat4","H2BW2",TRUE,"H2BW2"
"238","cat4","H2BW3P",TRUE,"H2BW3P"
"239","cat4","H2BW4P",TRUE,"H2BW4P"
"240","cat4","H3C1",TRUE,"H3C1"
"241","cat4","H3C2",TRUE,"H3C2"
"242","cat4","H3C3",TRUE,"H3C3"
"243","cat4","H3C4",TRUE,"H3C4"
"244","cat4","H3C5P",TRUE,"H3C5P"
"245","cat4","H3C6",TRUE,"H3C6"
"246","cat4","H3C7",TRUE,"H3C7"
"247","cat4","H3C8",TRUE,"H3C8"
"248","cat4","H3C9P",TRUE,"H3C9P"
"249","cat4","H3C10",TRUE,"H3C10"
"250","cat4","H3C11",TRUE,"H3C11"
"251","cat4","H3C12",TRUE,"H3C12"
"252","cat4","H3C13",TRUE,"H3C13"
"253","cat4","H3C14",TRUE,"H3C14"
"254","cat4","H3C15",TRUE,"H3C15"
"255","cat4","H3Y1",TRUE,"H3Y1"
"256","cat4","H3Y2",TRUE,"H3Y2"
"257","cat4","CENPA",TRUE,"CENPA"
"258","cat4","H3-2",FALSE,"H3-7"
"259","cat4","H3-3A",TRUE,"H3-3A"
"260","cat4","H3-3B",TRUE,"H3-3B"
"261","cat4","H3-4",TRUE,"H3-4"
"262","cat4","H3-5",TRUE,"H3-5"
