"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"4535","FN3K",NA,NA,NA,NA,1452.9,NA,1019.9,NA,NA,NA,4883.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FN3K","Q9H479"
"4536","POFUT1",14022,3760.4,4759.2,835.31,2561.1,NA,8770.2,NA,7927.6,NA,13227,NA,4160,NA,338.02,NA,NA,NA,894.17,NA,12014,2818.2,"POFUT1","Q9H488"
"4537","PIGU",44232,NA,6618.7,NA,16787,NA,10714,NA,6281.3,NA,6755.6,NA,2776,NA,1752.5,NA,NA,NA,2276.1,NA,16072,NA,"PIGU","Q9H490"
"4538","RNPEP",3475.5,1317.8,5464.5,NA,4091.5,1159.9,14593,3245.5,1602.6,NA,1438.9,2231.4,14839,1795,44430,13384,NA,NA,4928.5,NA,10471,NA,"RNPEP","Q9H4A4"
"4539","GOLPH3",3397.9,NA,2500.4,NA,4667.9,NA,2227.2,NA,5853.2,NA,2844.2,444.84,580.56,NA,774.04,NA,4862.7,NA,NA,NA,338.09,NA,"GOLPH3","Q9H4A6"
"4540","TUBB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUBB1","Q9H4B7"
"4541","DPEP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618.01,439.13,NA,NA,"DPEP3","Q9H4B8"
"4542","DEF6",NA,NA,589.83,NA,NA,NA,753.35,NA,NA,NA,390.72,NA,82.762,NA,816.73,NA,5229.6,NA,29.137,NA,369.58,NA,"DEF6","Q9H4E7"
"4543","EPB41L1",7206.7,252.18,3197.9,NA,3668.5,NA,1680.1,NA,10722,687.27,4728.4,NA,1737.5,NA,5361.3,NA,3889.7,NA,265.38,NA,2214,545.52,"EPB41L1","Q9H4G0"
"4544","GLIPR2",40377,33739,2553.4,42819,66492,21711,170070,48222,13372,10216,NA,26315,128450,12678,216460,15296,562690,30891,58052,53120,230200,74426,"GLIPR2","Q9H4G4"
