"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"539","ERLIN1",18657,1123.9,1715.5,NA,18526,NA,16889,806.79,5708,NA,986.62,NA,1046.5,NA,95.456,NA,NA,NA,2038,NA,NA,NA,"ERLIN1","O75477"
"540","GPC4",16704,3831.4,7190.1,3405.2,8205,NA,4303.6,NA,9915.3,1936.5,7093.2,1763.1,9104.7,1308.9,8998.9,2950.6,7450.8,NA,7220.3,1788.3,12919,1913,"GPC4","O75487"
"541","NDUFS3",NA,3617.8,1196.8,1895.4,4130,2399,5202.2,4823.3,2349.5,NA,7500.5,2881.7,2220.5,NA,NA,NA,NA,NA,NA,NA,1841.1,6004.7,"NDUFS3","O75489"
"542","SRSF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SRSF10","O75494"
"543","CLDN11",1613.4,NA,5918.5,NA,8660.2,NA,4340.8,NA,2235.6,NA,12522,1281.3,2545.8,NA,NA,NA,5982.1,NA,NA,NA,NA,NA,"CLDN11","O75508"
"544","ECI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ECI2","O75521"
"545","BANF1",NA,28192,NA,81447,NA,63062,27356,17529,NA,11254,NA,78655,34614,22706,1085.3,NA,4195.7,12002,2300.4,9517.8,10135,99220,"BANF1","O75531"
"546","SF3B1",2104.3,NA,NA,NA,3045.4,820.27,NA,307.49,292.29,2210.5,NA,NA,NA,344.01,NA,NA,NA,NA,NA,NA,NA,NA,"SF3B1","O75533"
"547","CSDE1",325.95,NA,NA,NA,405.76,NA,549.04,NA,478.08,NA,1517.6,NA,206.86,NA,1055.5,NA,1043.1,NA,NA,NA,153.18,NA,"CSDE1","O75534"
"548","STX11",13080,1456.7,25706,5654.8,30185,4315,21359,4836.8,25500,1099.8,22792,6051.8,15073,7487.4,22516,NA,158020,7644.7,5099.7,NA,10029,1231.2,"STX11","O75558"
"549","SKAP2",NA,NA,NA,NA,NA,NA,1017.1,NA,NA,NA,NA,NA,519.02,NA,1812.6,NA,28255,NA,NA,NA,NA,NA,"SKAP2","O75563"
"550","PRKRA",NA,1295,1765.7,NA,6808.7,2972.4,NA,NA,4669.6,NA,3749.3,1866.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRKRA","O75569"
"551","MYCBP2",205.58,NA,34.961,NA,131.21,NA,NA,NA,224,NA,1873.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYCBP2","O75592"
"552","PGLYRP1",6799.9,802.79,9207,3132.4,NA,NA,14518,NA,NA,NA,912.23,NA,1137.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGLYRP1","O75594"
"553","LYPLA1",3070.9,NA,NA,NA,5601.7,NA,10874,NA,3240.8,NA,648.57,NA,6072.6,NA,24519,1582.4,21531,NA,934.39,NA,3880.8,NA,"LYPLA1","O75608"
"554","CREG1",NA,NA,NA,NA,NA,NA,5459.1,NA,NA,NA,NA,NA,750.65,NA,714.25,NA,NA,NA,NA,NA,NA,NA,"CREG1","O75629"
"555","FCN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCN3","O75636"
"556","SNRNP200",631.16,NA,48.486,NA,NA,NA,NA,NA,NA,NA,1239.8,NA,NA,NA,358.12,230.75,NA,NA,NA,NA,NA,NA,"SNRNP200","O75643"
"557","TIPRL",631.12,NA,2122.8,NA,6315.4,NA,3181.5,NA,6068,NA,1676.4,NA,392.66,NA,1037.8,NA,1608,NA,219.91,NA,306.07,NA,"TIPRL","O75663"
"558","TOM1L1",NA,NA,NA,NA,2267,NA,1812.4,1117.8,NA,NA,NA,NA,4249.5,NA,6022.1,NA,3236.5,NA,NA,NA,923.29,NA,"TOM1L1","O75674"
"559","PPM1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPM1B","O75688"
"560","NUP155",NA,NA,NA,NA,NA,NA,NA,NA,362,NA,182.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP155","O75694"
"561","RP2",21778,6208.7,74096,19794,46570,3223,62319,15001,59452,5146.8,37756,5432.1,43718,9298.9,108610,8517.6,185260,4941.4,13434,3114,36096,5789.5,"RP2","O75695"
"562","STK16",2843.7,NA,1077.1,NA,795.24,NA,NA,NA,1431.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STK16","O75716"
"563","CRTAP",6878.4,1140.5,NA,NA,3473.4,NA,4762.2,1148.1,NA,NA,6592,NA,701.49,NA,458.95,NA,NA,NA,1350.8,719.02,445.8,NA,"CRTAP","O75718"
"564","SLC25A12",NA,NA,NA,NA,NA,NA,NA,NA,895.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A12","O75746"
"565","B3GALNT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3GALNT1","O75752"
"566","PALM",3353.6,452.68,3519.8,4421.7,21016,NA,14129,1736.2,998.63,NA,3005.4,7294.8,9185.8,1368.3,6243,NA,20204,NA,4465.9,NA,3140.4,NA,"PALM","O75781"
"567","ATP6AP2",NA,2145.5,NA,NA,2301.7,NA,9445.2,2209.5,NA,1930.8,NA,NA,3297.1,NA,2944.9,NA,2511.3,NA,1563.3,NA,3345,605.42,"ATP6AP2","O75787"
"568","ZMYND10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMYND10","O75800"
"569","EIF3G",NA,NA,NA,NA,2791.9,NA,3666.9,5504.8,NA,NA,32145,NA,754.85,NA,54472,4689.9,2286.9,NA,56.484,NA,7418.8,154.04,"EIF3G","O75821"
"570","EIF3J",NA,NA,NA,NA,NA,NA,3341.6,NA,NA,NA,5037.4,NA,853.55,NA,2489.8,NA,2038.1,NA,NA,NA,NA,NA,"EIF3J","O75822"
"571","CBR3",NA,NA,NA,NA,928.32,NA,465.5,NA,NA,NA,NA,NA,129.51,NA,NA,NA,489.19,NA,NA,NA,NA,NA,"CBR3","O75828"
"572","PSMD10",NA,NA,3347.5,NA,6445.9,NA,6711.9,NA,5119.6,NA,2926.3,NA,2868.8,NA,20531,3225.5,10269,NA,380.23,NA,2904.2,471.31,"PSMD10","O75832"
"573","UPK1B",5948.4,716.24,19572,12999,90769,3445.7,18294,18916,9941.3,2772.3,NA,52041,90937,35266,19683,NA,383470,18265,2702.2,NA,49461,10359,"UPK1B","O75841"
"574","AP1G2",NA,NA,NA,NA,NA,NA,1436.7,NA,NA,NA,146.21,NA,4484.2,NA,3991.3,NA,1059.2,NA,4370.9,NA,2537.4,NA,"AP1G2","O75843"
"575","ZMPSTE24",73483,7068.5,16306,1030.2,17216,926.99,22832,1166.3,48507,4622.5,25295,NA,5173.9,NA,3561.8,NA,NA,NA,3408.7,NA,5292.9,NA,"ZMPSTE24","O75844"
"576","IDH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30836,10287,NA,NA,NA,NA,20564,8060.7,NA,NA,"IDH1","O75874"
"577","SCO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2468.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCO1","O75880"
"578","CYP7B1",34581,1495.1,NA,NA,6605.1,NA,10927,1121.6,4522.6,NA,1222.5,NA,4551,NA,NA,NA,NA,NA,3498.6,709.75,NA,NA,"CYP7B1","O75881"
"579","ATRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATRN","O75882"
"580","RBBP9",NA,NA,4569.6,NA,NA,NA,1498.4,NA,NA,NA,NA,NA,863.42,NA,3588.2,NA,3316.3,NA,NA,NA,272.8,NA,"RBBP9","O75884"
"581","STAM2",15894,4537.4,NA,NA,2705.1,7997.6,2292.8,NA,NA,1860.4,13624,NA,2689.9,NA,9160.8,NA,5121.3,NA,1676.5,NA,NA,NA,"STAM2","O75886"
"582","DGAT1",3043.7,753.7,NA,527.32,6013.9,NA,4330.5,603.7,3058.3,NA,5399.3,NA,1585.5,NA,150.59,NA,NA,NA,NA,NA,4401.7,1045.3,"DGAT1","O75907"
"583","DHRS3",3620.5,NA,NA,NA,2521.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHRS3","O75911"
"584","ARL6IP5",1233100,331270,24293,114610,618870,104540,611320,153720,119230,94801,77261,151280,185470,15921,35469,NA,74505,NA,110940,25939,63472,7789.4,"ARL6IP5","O75915"
"585","DYSF",3243.7,NA,7104.9,449.98,2620.6,NA,9733.2,650.84,1417.3,NA,2612,NA,810.06,NA,985.16,NA,1699.3,NA,NA,NA,210.77,NA,"DYSF","O75923"
"586","BCAS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCAS2","O75934"
"587","ATP5PD",10374,22530,899.08,26607,18149,11577,61636,27270,NA,11841,3249.5,28404,16833,NA,705.83,NA,NA,NA,31632,NA,8474.5,33474,"ATP5H","O75947"
"588","TSPAN9",6404.6,3228.8,NA,NA,6743.2,NA,11632,7040.1,5508.2,NA,8903.2,3269.7,19528,3085,18625,2429.7,20154,NA,6340.9,NA,9501.7,4094.4,"TSPAN9","O75954"
"589","FLOT1",82647,38296,73921,27105,153550,25365,180150,64406,89433,25996,129590,45156,96456,13830,104850,23828,70281,3393.1,43180,14595,151810,68266,"FLOT1","O75955"
"590","TRIO",428.39,NA,134.41,NA,NA,NA,NA,NA,489.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIO","O75962"
"591","ATP5MG",6814.3,NA,12467,NA,15078,NA,6939.4,NA,10009,NA,33252,NA,1216.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP5L","O75964"
"592","MPDZ",NA,NA,224.95,NA,7405.5,110.39,1324.2,NA,NA,NA,851.89,1540.3,2341.3,1530.3,133.11,NA,4387.7,NA,467.33,NA,828.97,NA,"MPDZ","O75970"
"593","CPD",3950.8,NA,NA,NA,315.17,NA,240.2,NA,3343.3,NA,600.64,NA,NA,NA,48.79,NA,NA,NA,NA,NA,240.01,NA,"CPD","O75976"
"594","SASH3",NA,NA,6881.5,NA,NA,NA,3634.2,NA,NA,NA,NA,NA,3398.4,NA,13808,NA,46666,NA,2710.2,NA,3971,NA,"SASH3","O75995"
"595","GLRX3",1112.1,461.16,5104.4,NA,3164.2,NA,3321.5,NA,6165.3,2016.7,2797.9,NA,4130.9,NA,18869,5380.5,8719.9,NA,779.78,NA,1606.9,NA,"GLRX3","O76003"
"596","RSL1D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1181.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSL1D1","O76021"
"597","WFS1",5879.8,311.82,219.63,NA,135.99,NA,NA,NA,NA,NA,4623.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WFS1","O76024"
"598","ANXA9",NA,NA,NA,NA,NA,NA,NA,NA,635.26,NA,NA,NA,NA,NA,16131,NA,10134,NA,NA,NA,NA,NA,"ANXA9","O76027"
"599","TM7SF2",1184.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1661.2,NA,"TM7SF2","O76062"
"600","SNCG",1465.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1521.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNCG","O76070"
"601","PDE5A",NA,NA,NA,NA,NA,NA,3208.7,NA,NA,NA,NA,NA,8334.4,NA,4464.9,NA,1158.7,NA,14109,NA,NA,NA,"PDE5A","O76074"
"602","SRP72",627.72,35.712,619.11,NA,3890.2,NA,271.01,NA,985.17,NA,5833.4,NA,NA,NA,NA,NA,343.29,NA,NA,NA,NA,NA,"SRP72","O76094"
"603","DDAH1",258.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450.3,NA,NA,NA,NA,NA,1484.7,1296.2,"DDAH1","O94760"
"604","B3GAT3",8132.9,649.51,NA,NA,NA,NA,NA,NA,6621.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3GAT3","O94766"
"605","MTA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTA2","O94776"
"606","ALDH1A2",1358.4,NA,4425.2,NA,NA,NA,18265,2342.4,NA,NA,NA,NA,36727,10073,NA,NA,31227,NA,6167,1367.2,3858,1183.4,"ALDH1A2","O94788"
"607","STK10",5588.2,946.36,20826,2403.5,14670,425.89,15406,2302.7,11102,289.33,16147,2027.6,8495.7,814.28,14456,385.51,55757,377.11,3780.6,336.09,8275.7,1617,"STK10","O94804"
"608","GFPT2",NA,NA,1062.1,NA,4152.8,676.06,193.01,NA,321.71,NA,3668.6,NA,613.06,2966.5,NA,NA,787.22,NA,NA,NA,NA,NA,"GFPT2","O94808"
"609","TPPP",NA,NA,NA,NA,1120.6,NA,1286.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,835.73,NA,NA,NA,NA,NA,"TPPP","O94811"
"610","SLIT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLIT2","O94813"
"611","TOMM70",9174.5,790.97,2887.7,NA,2714.9,NA,2590.9,NA,3773.1,NA,4961.2,NA,NA,NA,85.026,NA,NA,NA,3428.4,NA,NA,NA,"TOMM70A","O94826"
"612","MYO1D",4520.1,2208.8,7198,1790.6,31226,7152,23742,13678,11859,2510.7,12391,11355,28398,17936,6293,NA,29536,324.11,6993.5,237.26,27983,6451.5,"MYO1D","O94832"
"613","SEC24D",NA,NA,793.12,NA,1848.6,694.27,731.79,NA,595.32,NA,1149.6,1075.3,703.27,NA,704.47,NA,1200.4,NA,NA,NA,65.515,NA,"SEC24D","O94855"
"614","NFASC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFASC","O94856"
"615","UFL1",NA,NA,NA,NA,NA,NA,59.519,NA,157.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UFL1","O94874"
"616","TMCC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMCC1","O94876"
"617","TMEM63A",2083.1,NA,NA,NA,NA,NA,3681.6,NA,NA,NA,NA,NA,1580.3,5905.2,5143.8,NA,NA,NA,NA,NA,500.31,NA,"TMEM63A","O94886"
"618","FARP2",NA,NA,313.51,NA,548.04,NA,NA,NA,212.91,NA,170.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FARP2","O94887"
"619","UBXN7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBXN7","O94888"
"620","PLPBP",NA,NA,NA,NA,NA,NA,1210.6,NA,2216.2,NA,NA,NA,1574.4,NA,NA,NA,5585,NA,NA,NA,643.19,NA,"PROSC","O94903"
"621","ERLIN2",58028,31334,22937,14295,69477,18078,67087,22626,35232,7790.5,43960,13612,22980,2277.7,4955.9,NA,4813.2,NA,9297.4,2402.1,93320,24616,"ERLIN2","O94905"
"622","PRPF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRPF6","O94906"
"623","ABCA8",3506.8,NA,3260.4,NA,33067,2992.8,22140,3470.3,4104.9,NA,19288,3035.7,16005,3114.4,NA,NA,10429,NA,113.5,NA,NA,NA,"ABCA8","O94911"
"624","FRYL",70.048,NA,511.69,NA,592.83,NA,141.86,NA,777.75,NA,877.7,NA,102.69,NA,63.337,NA,136.67,NA,NA,NA,NA,NA,"FRYL","O94915"
"625","ENDOD1",18039,1800.2,NA,656.59,11616,NA,4740.7,NA,3001.4,2814.7,15586,NA,2641.3,NA,1389.7,NA,1985.3,NA,837.95,NA,4511.8,1675.3,"ENDOD1","O94919"
"626","CDK14",NA,NA,587.34,NA,1284.8,NA,70.286,NA,NA,NA,347.84,NA,98.904,NA,NA,NA,1668.1,NA,NA,NA,NA,NA,"CDK14","O94921"
"627","GLCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLCE","O94923"
"628","GLS",NA,211.34,NA,NA,NA,NA,NA,NA,NA,NA,266.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLS","O94925"
"629","FBXO21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBXO21","O94952"
"630","AP2A2",7750.7,1184,10780,1066.1,24763,2324,18660,3537.2,13505,715.3,29002,4202.7,7015.5,392.47,11514,1090.6,24839,NA,1462.5,NA,3671.3,591.85,"AP2A2","O94973"
"631","SEC31A",20687,6127.6,6919.8,NA,11965,2813.1,15663,13856,24542,4393.6,11839,7163,1849,NA,16267,2233.8,9443.7,NA,614.8,NA,421.52,102.84,"SEC31A","O94979"
"632","CLSTN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.872,NA,NA,NA,NA,1577.2,NA,NA,NA,NA,NA,NA,"CLSTN1","O94985"
"633","SLITRK5",NA,NA,NA,452.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLITRK5","O94991"
"634","TJP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TJP3","O95049"
"635","YIF1A",108910,NA,12314,NA,35458,NA,24344,NA,23462,NA,44339,NA,13893,NA,NA,NA,NA,NA,2797,NA,4824.4,NA,"YIF1A","O95070"
"636","UBR5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.48,NA,"UBR5","O95071"
"637","PRSS23",NA,NA,NA,NA,NA,NA,NA,NA,2477.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRSS23","O95084"
"638","NDUFB6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFB6","O95139"
"639","MFN2",2686.6,NA,NA,NA,435.06,NA,NA,NA,680.4,NA,622.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.518,"MFN2","O95140"
"640","DUSP14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUSP14","O95147"
"641","UBE4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBE4B","O95155"
"642","ZFPL1",47153,538.41,2965,NA,8064.2,NA,4139.1,NA,30141,NA,19841,NA,882.78,NA,4685.2,NA,1256.6,NA,NA,NA,1715.5,210.69,"ZFPL1","O95159"
"643","ELP1",NA,NA,NA,NA,NA,NA,NA,NA,78.646,NA,87.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IKBKAP","O95163"
"644","GABARAP",10453,NA,6654.5,NA,8389.6,NA,11076,NA,NA,NA,19552,NA,7197,NA,10661,NA,25893,NA,2257.5,NA,6000,NA,"GABARAP","O95166"
"645","NDUFB4",NA,28684,NA,NA,13133,NA,19178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFB4","O95168"
"646","NDUFB8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFB8","O95169"
"647","SCEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.14,NA,NA,NA,NA,NA,"SCEL","O95171"
"648","NDUFA7",NA,NA,NA,NA,1082.4,NA,NA,NA,1878.9,NA,10037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFA7","O95182"
"649","VAMP5",NA,NA,NA,NA,NA,NA,7354.6,NA,NA,NA,NA,NA,9946.1,NA,6080.7,NA,227850,NA,NA,NA,6043.1,NA,"VAMP5","O95183"
"650","RTN3",52740,12433,16569,2784.9,31069,3590.3,12099,4900,42149,3109.1,38822,3302,3925.8,668.68,2572,NA,1433.5,NA,875.59,NA,24283,1926.7,"RTN3","O95197"
"651","LETM1",NA,338.95,NA,NA,NA,NA,729.11,NA,796.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.2,"LETM1","O95202"
"652","LEPROTL1",NA,NA,NA,NA,14449,NA,14867,NA,NA,NA,NA,NA,10361,NA,13033,NA,20134,NA,NA,NA,15855,NA,"LEPROTL1","O95214"
"653","LUC7L3",NA,NA,NA,NA,406.43,NA,NA,NA,NA,NA,10435,NA,NA,NA,280.1,NA,NA,NA,NA,NA,NA,216.97,"LUC7L3","O95232"
"654","APOL3",NA,NA,NA,NA,NA,1013.6,NA,NA,NA,NA,NA,1438.6,NA,NA,NA,NA,9401.2,NA,NA,NA,NA,NA,"APOL3","O95236"
"655","SBF1",121.82,NA,1118.6,NA,932.77,NA,378.3,NA,464.25,NA,927.73,NA,317.71,NA,56.53,NA,4346.4,NA,201.79,NA,488.25,NA,"SBF1","O95248"
"656","GOSR1",15180,NA,6866.6,NA,7288.9,NA,5959.1,NA,3709.5,NA,9755.3,NA,560.72,NA,322.36,NA,332.6,NA,436.85,NA,1058.3,NA,"GOSR1","O95249"
"657","ATE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATE1","O95260"
"658","CCNDBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCNDBP1","O95273"
"659","LYPD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,NA,"LYPD3","O95274"
"660","VAPB",27206,394.54,15197,NA,23353,NA,16101,NA,3413.2,NA,11960,NA,5319.1,NA,2833.5,NA,6887.7,NA,2457.2,NA,9840.8,NA,"VAPB","O95292"
"661","RASAL1",NA,NA,NA,NA,NA,NA,2408.1,NA,10813,NA,546.65,NA,2059,NA,62.27,NA,3675.7,NA,1038.9,NA,1230.9,NA,"RASAL1","O95294"
"662","SNAPIN",NA,NA,NA,NA,NA,1282.9,4054.2,1536.5,NA,996.58,NA,NA,5358.8,NA,7303.4,NA,2368.1,NA,1278.6,NA,NA,NA,"SNAPIN","O95295"
"663","MPZL1",6122.6,1424.8,NA,4984.6,26092,NA,23026,4139.4,5825.6,NA,NA,5881.3,16494,9536.1,12011,NA,13490,NA,2867.9,2525.6,5516.5,2196,"MPZL1","O95297"
"664","NDUFA10",NA,NA,NA,NA,664,NA,1063.6,758.3,1784.7,NA,6132.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719.96,"NDUFA10","O95299"
"665","FKBP9",NA,NA,206.6,NA,NA,NA,2376.8,NA,NA,NA,1495.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FKBP9","O95302"
"666","CELF2",NA,NA,NA,NA,1293.2,654.76,NA,NA,NA,NA,440.27,1165.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CELF2","O95319"
"667","PGLS",6208.6,1686.7,9161.4,855.62,9526.1,3722,22633,4385.3,20550,8100.1,3927.2,3951.5,26125,3089,47816,10934,34263,1370,5205.3,NA,51616,2800.8,"PGLS","O95336"
"668","PAPSS2",NA,NA,NA,NA,1193.5,NA,613.01,NA,NA,NA,1383.7,NA,NA,NA,64.134,NA,1108.3,NA,NA,NA,NA,NA,"PAPSS2","O95340"
"669","ABCB11",NA,NA,489.34,NA,NA,526.04,NA,NA,NA,NA,NA,1069.2,194.44,258.28,NA,NA,417.47,NA,NA,NA,NA,NA,"ABCB11","O95342"
"670","ATG7",NA,NA,NA,NA,1359.3,NA,3629.9,NA,NA,NA,NA,NA,1666.8,NA,4602.3,NA,10409,NA,260.86,NA,151.74,NA,"ATG7","O95352"
"671","LYPLA2",6293.9,754.26,3197.6,NA,18285,1601.2,10337,705.32,12120,NA,3825.1,9273.8,15616,NA,78270,11527,56913,NA,503.34,NA,13732,405.55,"LYPLA2","O95372"
"672","IPO7",1378.2,NA,2718.1,73.539,4858,NA,3950.2,288.72,3463.1,NA,7633.7,167.25,785.79,NA,10231,1948.6,8660.7,NA,233.89,NA,2008.8,NA,"IPO7","O95373"
"673","TNFAIP8",1817.2,2251.9,4906.5,8622.1,3152.5,4410.2,27864,3922.9,NA,NA,NA,7964.3,18278,4796.1,19148,NA,59721,1984.9,8223.1,1602.8,NA,NA,"TNFAIP8","O95379"
"674","PGM3",NA,NA,796.15,NA,2793.8,NA,3286.9,NA,NA,NA,NA,NA,1189.2,NA,391.63,NA,3800.9,NA,NA,NA,1396,NA,"PGM3","O95394"
"675","MOCS3",715.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOCS3","O95396"
"676","RAPGEF3",148.46,NA,NA,NA,NA,NA,NA,NA,77.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAPGEF3","O95398"
"677","CNIH1",11295,NA,NA,NA,67132,NA,44860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNIH1","O95406"
"678","SVIL",NA,NA,NA,NA,NA,NA,80.967,NA,55.077,NA,NA,NA,NA,NA,NA,NA,84.63,NA,NA,NA,NA,NA,"SVIL","O95425"
"679","PIGN",1798.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIGN","O95427"
"680","AHSA1",2551.4,NA,NA,656.32,4670.8,2704.9,5024.6,392.16,2771.7,2404.3,1831.2,2526,1902.4,NA,14340,1104.4,15373,NA,1143.2,NA,2420.1,NA,"AHSA1","O95433"
"681","SLC34A2",65795,56121,34766,100310,33816,9237.9,77815,103190,106590,128350,4424.9,23356,80751,75689,274920,105330,75650,9467.8,33707,25911,180220,133140,"SLC34A2","O95436"
"682","APOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOM","O95445"
"683","PSMG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMG1","O95456"
"684","MATN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATN4","O95460"
