"","Suggested.Symbol","name","ID","U7","S7","B7","U8","S8","B8","U9","S9","B9","U10","S10","B10","U11","S11","B11","C1","C2","C3","C4","C5","U1","S1","B1","U2","S2","B2","U3","S3","B3","U4","S4","B4","U5","S5","B5","U6","S6","B6"
"2013","MASP1","MASP1","P48740",37995,5618.1,14030,17914,6212.4,14432,23773,11678,15026,28085,11103,16886,29494,33232,6122.7,15384,1891.3,16963,5103.7,4391.3,26735,37950,15052,14230,2133.5,9742.8,31907,17440,8522.1,23140,36066,11087,24631,21226,11848,55187,7009.3,29150
"2014","ADGRE5","CD97","P48960",47646,3395.4,0,102040,10143,911.54,263240,15188,0,27136,4043.9,0,30877,4735.8,0,0,458.82,0,13887,0,15866,4990.1,0,20267,7969.9,0,25318,4195.6,0,40207,7704.4,0,17902,936.15,0,28885,6532.1,0
"2015","MARCKSL1","MARCKSL1","P49006",141440,57905,0,490530,60152,0,160300,0,0,118370,43462,0,309710,69702,0,40286,5174,49286,0,0,7913.6,59738,0,29329,0,0,35883,8182.8,0,125090,12825,0,0,15157,0,1761.6,14768,0
"2016","HCAR2","HCAR2","Q8TDS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","PXN","PXN","P49023",540.99,0,0,925.22,0,0,5924.5,0,0,139.36,0,0,287.74,0,0,0,0,0,0,0,0,0,0,2557.1,0,0,1110.6,0,0,1519.9,0,0,1210.5,0,0,979.7,0,0
"2018","CAMLG","CAMLG","P49069",0,0,0,0,0,0,0,0,0,0,0,0,191.59,0,0,0,0,0,0,0,955.07,0,0,0,0,0,0,0,0,323.23,0,0,0,0,0,0,0,0
"2019","DNASE1L1","DNASE1L1","P49184",64928,5416.6,0,29290,0,0,44154,0,0,6484.3,1474.1,0,15024,0,0,0,7269,0,34997,0,7775.6,2131,0,18794,7010.4,0,1543.7,1663.2,0,22513,6110.6,0,4728.4,0,0,9188.2,0,0
"2020","ALDH9A1","ALDH9A1","P49189",25318,17441,0,12666,0,0,33927,0,0,5618.5,0,0,11082,3330.7,0,2603.4,1205.6,10460,3808.4,0,3771.7,2268.3,0,3450.5,4344.8,0,14037,4718.1,0,29179,9760.9,0,3584.5,1345.4,0,6425.9,6924.6,0
"2021","RPL34","RPL34","P49207",0,0,0,4626.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022","RPIA","RPIA","P49247",17047,0,0,1399.4,0,0,736.78,0,0,0,0,0,1213.8,0,0,0,0,257.2,8916.2,0,361.74,0,0,829.66,0,0,491.57,0,0,882.1,0,0,1307.7,0,0,1207.4,0,0
"2023","LMAN1","LMAN1","P49257",130320,5620.2,0,22942,0,0,4928.4,0,0,61439,1544,0,107840,15616,482.69,40394,0,85184,0,5791.7,708030,103260,0,255700,24929,0,501620,21587,785.37,373760,81285,0,348800,23829,0,434180,44243,0
"2024","SLC11A1","SLC11A1","P49279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692.2,0,0,0,4654.5,0,0,0,0,0,0,0,0,3092.6,0,0,0,0,0,0,0,0
"2025","SLC11A2","SLC11A2","P49281",48183,2425.6,0,8439.4,0,0,6812.4,0,0,853.64,0,0,78964,16894,0,0,0,0,265460,0,1641,0,0,0,0,0,1747.8,429.43,0,17283,1234.3,0,56101,1994.7,0,26178,0,0
"2026","NASP","NASP","P49321",1784.9,0,0,1869.3,0,0,0,0,93.202,5828.8,0,0,1999.4,0,23.717,0,0,0,15287,0,2390.6,5224.7,0,0,0,0,0,0,0,149.42,0,0,0,0,0,0,149.85,0
"2027","FASN","FASN","P49327",716.88,0,0,16349,2915.1,0,7326.1,0,0,735.02,160.12,0,836.88,12.173,0,35326,76.187,52595,2289.4,1006.1,1484.5,352.48,0,4314,167.55,0,3721.9,97.2,0,6674.6,1289.6,0,18437,2405.9,0,9405.9,48.867,0
"2028","FNTA","FNTA","P49354",2621.8,0,0,1283.2,0,0,6818.9,0,0,242.46,0,0,592.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.2,0,0,4056.8,0,0,0,0,0,0,0,0
"2029","FNTB","FNTB","P49356",0,0,0,220.2,0,0,1650.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.27,0,0,3115.7,0,0,0,0,0
"2030","DHPS","DHPS","P49366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605.1,0,0,0,0,0
"2031","CCT3","CCT3","P49368",16185,6231.9,0,65885,20275,0,44948,2624.1,0,5356.5,963.71,0,10190,11038,0,36508,0,46219,4720,0,11122,3803.6,0,9072.4,1603.2,0,29774,6349.3,0,26047,8136.2,0,51996,20976,0,16740,7300,0
"2032","ARRB1","ARRB1","P49407",1092.9,0,0,5015.8,0,0,9159.9,0,0,0,0,0,223.64,0,0,0,0,0,0,0,0,0,0,0,0,0,751.76,0,0,7596.9,0,0,0,0,0,0,0,0
"2033","TUFM","TUFM","P49411",825.92,0,0,0,0,0,0,0,0,475.61,1536,0,2496.1,21815,0,256.83,0,0,0,0,10046,14340,0,171.07,6953.1,0,1577.6,3088.4,45.717,11146,6495.9,0,26114,5145.9,0,4535.4,1484,0
"2034","ALDH7A1","ALDH7A1","P49419",5013.3,1648.5,0,3009.3,797.45,0,6677.2,0,0,238.21,0,0,4459.2,5448.7,0,5013.2,0,8824,10948,0,1353.5,2268.9,0,4594.3,0,0,5982.1,1216.3,0,6748,718.65,0,32112,11378,0,5823.2,1365.3,0
"2035","CYB561","CYB561","P49447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81774,0,0,0,0,0,0,0,0,0,0,0,0,0,38431,0,0,0,0,0
"2036","AARS1","AARS","P49588",10058,1078,0,34862,10857,234.63,38170,1400,0,2600,0,0,17774,769.83,75.045,7444.5,0,9453.3,5580.3,0,706.39,835.7,0,4048.6,1192.7,0,5053.6,1473.2,0,10281,367.95,0,22513,3551.5,0,2385.5,421.93,0
"2037","CARS1","CARS","P49589",110.55,0,0,3747.3,0,0,4521.3,0,0,714.39,0,0,203.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074.7,0,0,749.98,0,0,0,0,0
"2038","SARS1","SARS","P49591",7835.4,4527.5,0,36864,16127,0,19637,545.35,0,3254.5,0,0,6434.3,373.69,0,6684.5,0,7507.8,1705.5,0,5277.2,1729.6,0,241.16,565.77,0,6213.2,5573.9,0,9249.9,945.02,0,19383,9203,0,3197.6,5929.6,0
"2039","PPM1F","PPM1F","P49593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2040","MAN2A2","MAN2A2","P49641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.47,0,0,113.18,0,0,0,0,0,0,0,0,0,0,0,2002.8,0,0
"2041","CASP4","CASP4","P49662",0,0,0,161.45,0,0,4169.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.94,0,0,0,0,0,0,0,0,0,0,0
"2042","PSMB3","PSMB3","P49720",76594,10613,0,134410,4216.9,13914,140890,0,2358.5,48484,2428.7,0,57777,9475.3,806.47,46153,9883.6,30824,7065.4,0,24072,5211.4,1578.1,20972,0,0,81949,3082.7,10619,66954,4808.8,0,112270,12273,0,34699,15225,15190
"2043","PSMB2","PSMB2","P49721",35524,1823.2,0,43759,3357.1,3711.2,62879,1315.8,1848.2,11797,1585.1,0,20288,1560.7,3181.6,16147,2871.2,11433,5837.4,0,13055,1792.1,0,9312,1735.8,0,29250,2078,2402.6,19058,2391.8,0,50682,2340.5,2783.5,8102.3,6781.2,4379.3
"2044","MCM2","MCM2","P49736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.71,0,0
"2045","THBS3","THBS3","P49746",0,0,0,0,0,0,0,0,0,0,0,413.89,0,437.7,1373.3,0,0,0,0,0,848.36,88.725,0,0,0,0,0,0,0,0,0,0,0,449.19,0,887.79,0,0
"2046","COMP","COMP","P49747",0,0,1607.4,889.66,0,4103.6,0,3198.5,0,6550.6,1047.7,7094.3,0,944.15,0,3963,0,3291.6,0,0,0,1573.4,3269,1138.2,0,0,0,1609.8,1432.5,0,1267.4,0,727.06,10935,0,0,1717.6,2750.5
"2047","ACADVL","ACADVL","P49748",2723,602.88,0,405.97,0,0,688.11,0,0,149.01,0,0,1009.1,1105.5,0,829,0,1455.6,0,0,2430.5,2307.4,0,1401.5,4142,0,6125.2,1016.1,0,13563,3893.7,0,5258.9,440.7,0,8114.1,2328.1,0
"2048","ACOT2","ACOT2","P49753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2049","TMED10","TMED10","P49755",207380,22688,0,55172,2201.5,0,40544,0,0,104850,18523,0,269190,37983,0,87212,0,187650,0,17086,842650,160980,0,267560,73297,0,699630,82649,0,544310,95645,0,327390,36258,0,755100,87550,0
"2050","RBM25","RBM25","P49756",554.8,0,0,1106.7,0,0,0,0,2699.3,4509.4,0,7250.3,2938.7,505.41,878.67,0,0,0,896.41,0,0,74.99,0,0,0,0,0,1397.1,0,0,0,0,0,0,693.36,6658.4,0,1877.1
"2051","NUMB","NUMB","P49757",26.786,0,0,438.36,0,4813.1,1860.4,0,0,0,0,8166.3,0,0,0,0,0,0,1193.7,0,0,0,0,1502.4,0,0,1030.8,0,0,173.62,0,0,0,0,0,1411.4,0,0
"2052","PSEN1","PSEN1","P49768",7480.5,0,0,14681,0,0,16719,0,0,379.62,0,0,13909,0,0,2065.1,0,1825.1,8208.6,0,1823.6,0,0,0,0,0,3265.5,0,0,2968.4,1399.6,0,0,0,0,2916.7,0,0
"2053","EIF2B2","EIF2B2","P49770",0,0,0,9181.7,2757.6,0,1461.9,0,0,0,0,0,0,1035.4,0,1642.9,0,2401.1,0,0,0,0,0,0,0,0,503.62,0,0,0,0,0,1084.5,2296,0,8284.2,0,0
"2054","HINT1","HINT1","P49773",20454,0,0,168140,0,0,72324,0,0,5195.5,0,0,10609,0,0,0,0,4418.8,54919,0,0,0,0,0,0,0,0,0,0,42697,0,0,11346,0,0,0,0,0
"2055","RANBP2","RANBP2","P49792",0,0,0,587.67,0,0,1662.6,0,0,238.75,0,0,308.03,0,0,0,0,0,0,0,41.68,209.08,0,0,0,0,0,0,0,1013.3,360.24,0,105.98,0,0,26.147,0,0
"2056","RGS19","RGS19","P49795",27333,0,0,26289,0,0,83255,0,0,3521.9,0,0,19192,0,0,0,0,0,2446.2,0,17658,0,0,9505.4,6497.4,0,16164,0,0,31005,1038,0,0,0,0,3291.5,0,0
"2057","NDUFV1","NDUFV1","P49821",122.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306.5,0,0,2500.3,0,0,1236.6,0,0,8416.4,920.13,0
"2058","GSK3A","GSK3A","P49840",0,0,0,411.24,0,0,2167.5,0,0,0,0,0,0,0,0,0,0,535.4,4470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2059","GSK3B","GSK3B","P49841",0,0,0,714.52,0,0,749.32,0,0,0,0,0,0,0,0,0,0,0,0,0,218.4,0,0,596.87,0,0,582.09,0,0,0,0,0,377.77,0,0,830.82,0,0
"2060","NT5C2","NT5C2","P49902",325.25,0,0,3267.4,0,0,4726.7,0,0,54.204,0,0,387.92,0,0,0,0,0,1162.4,0,794.82,0,0,5581.3,0,0,1247.1,0,0,1993.1,0,0,17499,0,0,3382.8,0,0
"2061","SEPHS1","SEPHS1","P49903",737.97,0,0,5135.1,0,0,1310.1,0,0,0,0,0,310.41,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2062","SELENOP","SEPP1","P49908",3182.2,0,3469.7,15909,0,3815.9,4949.3,3983,0,7137.9,0,5670.1,3325.9,4139.9,4236.7,646.91,0,20850,0,2308.9,0,2693.8,4240.3,0,5608.3,0,0,0,4828.1,8267.1,7598.3,5331.2,0,0,0,1786.3,3118.8,0
"2063","CAMP","CAMP","P49913",56283,12557,3936.8,14282,32104,8609.3,1428.8,1665,1749.8,6035.2,6456.6,2078.5,12840,16616,1312.7,13078,0,79110,4053.1,898.04,180180,31602,3573.7,128970,68883,13437,69325,45195,2404,147670,46203,5201.1,123420,24336,1171.4,136010,59523,3637.8
"2064","GMPS","GMPS","P49915",5981.9,0,0,3731.5,258.04,0,1958.8,0,0,0,0,0,0,0,134.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.425,0,0,0,0,0,0,0,0
"2065","MRE11","MRE11A","P49959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.2,0,0,0,0,0
"2066","ENTPD1","ENTPD1","P49961",4621.6,0,0,10923,0,0,23097,0,0,1220.7,0,0,2360.7,0,0,0,0,0,0,0,2139.5,0,0,2528.6,0,0,1604.5,0,0,9247.8,0,0,1270.4,0,0,2383.3,0,0
"2067","HNMT","HNMT","P50135",0,0,0,1224.9,0,0,3378.8,0,0,0,0,0,0,0,0,0,0,0,10060,0,0,0,0,0,0,0,0,0,0,4534.6,0,0,0,0,0,1639.3,489.29,0
