"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"455","DPP4",1,1,1,1,0,1,1,1,1,1,1
"456","RPL10",1,1,1,1,1,1,1,1,0,0,1
"457","CD82",1,1,1,1,1,1,1,1,1,1,1
"460","CANX",1,1,1,1,1,1,1,1,1,1,0
"469","MAPK1",1,1,1,1,1,1,1,1,1,0,1
"482","MARCKS",1,1,0,1,1,1,1,1,1,1,0
"483","AQP1",1,1,1,1,1,1,1,1,1,1,0
"484","GNA11",1,1,1,1,1,1,1,1,1,1,1
"490","PDIA3",1,1,1,0,1,0,1,1,1,1,1
"491","PPP2R1A",1,1,0,1,1,1,1,1,1,1,0
"492","TM4SF1",1,1,1,1,1,0,1,1,1,0,1
"497","SRI",1,1,1,1,1,0,1,1,0,1,1
"503","DNAJA1",1,1,1,1,1,1,1,1,1,0,1
"505","ATIC",1,1,1,1,1,1,1,1,1,0,1
"507","STIP1",1,1,1,1,0,1,1,1,1,1,0
"520","CD68",1,1,1,1,1,1,1,1,0,1,1
"524","CTNNA1",1,1,1,1,0,1,1,1,1,1,0
"525","CTNNB1",1,1,1,1,1,1,1,1,1,1,0
"526","PHB1",1,1,1,1,1,1,1,0,0,1,1
"528","RDX",1,1,1,1,1,1,1,1,1,1,1
"530","FBN1",1,1,1,0,1,1,0,1,1,1,1
"534","ADD1",1,1,1,1,1,1,1,1,1,1,1
"535","BSG",1,1,1,1,1,1,1,1,1,1,1
"538","RPL4",1,1,1,1,1,1,1,1,0,0,1
"539","PGM1",1,1,1,1,1,1,1,0,1,1,1
"543","HPCAL1",1,1,1,1,1,1,1,1,0,0,1
"545","ATP6V1A",1,1,1,1,1,1,1,1,1,1,0
"548","RPL3",1,1,1,1,1,1,1,1,0,0,1
"550","CAPG",1,1,1,1,1,0,1,1,1,1,0
"555","STAT3",1,1,0,1,1,0,1,1,1,1,1
"556","MDH1",1,1,0,1,1,1,1,1,1,1,1
"558","HADHA",1,1,1,1,1,1,1,0,0,1,1
"560","CD200",1,1,1,1,1,1,1,0,0,1,1
"569","ALDH3B1",1,1,1,1,1,1,1,0,1,0,1
"572","USP5",1,1,1,1,1,1,1,1,0,0,1
"577","RPS9",1,1,1,1,1,1,1,1,0,0,1
"581","CAPZA2",1,1,1,1,1,1,1,1,1,1,1
"589","CD151",1,1,1,1,1,1,1,1,1,1,1
"591","IDH2",1,1,1,1,0,1,1,0,1,1,1
"592","ADGRE5",1,1,1,1,1,1,1,0,1,1,1
"598","FASN",1,1,1,1,1,1,0,1,0,1,1
"599","CCT3",1,1,1,1,1,1,1,1,1,1,1
"603","SARS1",1,1,1,1,1,1,1,1,1,0,1
"607","TMED10",1,1,1,1,1,1,1,1,0,1,1
"609","GNAQ",1,1,1,1,1,1,1,1,1,1,1
"616","ST13",1,1,1,1,1,1,1,0,1,0,1
"617","VASP",1,1,1,1,1,1,1,1,0,1,1
"618","DNM2",1,1,1,1,1,1,1,1,0,1,1
"621","CCT8",1,1,1,1,1,0,1,1,1,1,1
"622","CCT4",1,1,1,1,1,0,1,0,1,1,1
"623","ANXA11",1,1,1,1,0,1,1,1,1,1,1
"625","RAB7A",1,1,1,1,1,0,1,0,1,1,1
"626","PLCD1",1,1,1,1,1,1,1,0,0,1,1
"627","SSR4",1,1,1,1,1,1,1,0,0,1,1
"628","BCAP31",1,1,1,1,1,1,1,1,0,1,1
"634","PGD",1,1,1,1,1,1,1,0,1,1,1
"636","ARHGDIA",1,1,1,0,1,1,1,1,1,1,1
"637","ARHGDIB",1,1,1,1,1,1,1,1,1,1,1
"639","CRIP2",1,1,1,1,1,1,1,1,1,1,1
"644","SLC16A1",1,1,1,1,1,1,1,1,1,1,1
"647","CACNA2D1",1,1,1,1,1,1,1,1,0,1,1
"649","ATP1B3",1,1,1,1,1,1,1,1,1,1,1
"651","NAPA",1,1,1,1,1,1,0,1,1,0,1
"654","CSE1L",1,0,1,1,1,1,1,0,1,1,1
"663","NPEPPS",1,1,1,1,1,1,1,0,1,1,1
"672","GNG2",1,1,1,1,1,1,1,0,1,1,1
"674","CD81",1,1,1,1,1,1,1,1,1,1,1
"677","S100A10",1,1,1,1,1,0,1,1,1,1,1
"678","CDC42",1,1,1,1,1,1,1,0,1,1,1
"679","DSTN",1,1,1,1,1,1,1,1,0,0,1
"681","RAB8A",1,1,1,1,1,1,1,1,1,1,1
"682","RAB2A",1,1,1,1,1,0,1,1,1,0,1
"683","RAB5B",1,1,1,1,1,1,1,1,1,1,0
"684","RAB10",1,1,1,1,1,1,0,0,1,1,1
"685","RAB14",1,1,1,1,1,1,1,1,0,0,1
"688","ACTR1A",1,1,1,0,1,1,1,1,1,1,1
"689","RAP1B",1,1,1,1,1,0,1,0,1,1,1
"690","RAP2B",1,1,1,1,1,1,1,1,1,1,1
"691","RPS3A",1,1,1,1,1,0,1,0,1,1,1
"696","RHOA",1,1,1,1,1,1,1,1,1,1,1
"702","RRAS2",1,1,1,1,1,1,1,1,1,1,1
"703","RPS7",1,1,1,1,1,1,1,1,1,1,1
"704","PPP1CA",1,1,1,1,1,1,1,1,0,0,1
"708","RPS16",1,1,1,1,1,0,1,0,1,1,1
"712","RPS13",1,1,1,1,1,1,1,0,1,0,1
"713","RPS11",1,1,1,1,1,1,1,1,1,0,0
"715","TMSB4X",1,1,1,1,1,1,1,1,1,1,1
"716","ARF6",1,1,1,1,1,1,1,1,1,1,1
"718","RPL7A",1,1,1,1,1,1,1,1,0,0,1
"719","RPS4X",1,1,1,1,1,0,1,0,1,1,1
"724","RPL23",1,1,1,1,1,0,1,0,1,1,1
"727","RPS26",1,1,1,1,1,1,1,1,1,1,1
"729","GNB1",1,1,1,1,1,1,1,1,1,1,0
"730","GNB2",1,1,1,1,0,1,1,0,1,1,1
"731","RPL30",1,1,1,1,1,1,1,1,1,0,1
"735","RPL8",1,1,1,1,1,1,1,1,1,1,1
"737","GRB2",1,1,1,1,1,1,0,1,1,1,1
"738","RAC1",1,1,1,1,1,1,1,1,1,1,1
"739","AP2B1",1,1,1,1,1,1,1,1,1,1,1
"740","GNAI1",1,1,1,1,1,1,1,1,1,1,1
"741","DYNLL1",1,1,1,1,1,0,1,1,1,1,1
"743","EIF5A",1,1,1,0,1,1,1,0,1,1,1
"751","SIRPA",1,1,1,1,0,1,1,0,1,1,1
"754","GSTO1",1,1,1,1,1,1,1,1,1,1,1
"756","HLA-DRB3",1,1,1,1,1,1,1,1,1,1,1
"758","ARF5",1,1,1,1,1,1,1,1,1,0,1
"759","RHOG",1,1,1,1,1,1,1,1,1,1,1
"760","H3-3A",1,0,1,1,1,1,1,0,1,1,1
"763","MPP1",1,1,1,1,1,1,1,1,1,1,0
"767","REEP5",1,1,1,1,1,1,0,1,0,1,1
"778","RPL6",1,1,1,1,1,1,1,1,0,0,1
"780","SLC25A11",1,1,1,1,1,1,1,0,0,1,1
"781","CAV1",1,1,1,1,1,1,1,1,0,1,0
"782","TNFAIP2",1,1,1,1,1,1,1,1,1,1,1
"783","PLAUR",1,1,0,1,1,1,1,1,1,0,1
"788","YWHAH",1,1,1,1,1,1,1,0,1,1,0
"790","PSME1",1,1,1,1,0,1,1,1,1,1,1
"791","PRDX1",1,1,0,1,1,1,1,0,1,1,1
"792","RPL18",1,1,1,1,1,1,1,0,0,1,1
"797","ARHGAP1",1,1,1,1,1,1,1,1,0,0,1
"803","MFGE8",1,1,1,1,1,1,1,1,1,1,0
"808","BST1",1,1,1,1,1,1,1,1,1,1,1
"809","BST2",1,1,1,1,1,1,1,1,1,1,1
"810","TWF1",1,1,1,1,1,0,1,1,1,1,1
"811","ASPH",1,1,1,1,1,1,1,0,0,1,1
"813","STX4",1,1,1,1,0,1,1,1,1,1,1
"814","FAP",1,1,1,1,1,1,1,0,0,1,1
"815","LMAN2",1,1,1,1,1,1,1,0,0,1,1
"816","PTPRJ",1,1,1,1,1,1,1,1,1,1,1
"827","SELENBP1",1,1,1,1,1,1,1,1,1,1,0
"829","STX3",1,1,0,1,1,1,1,1,0,1,1
"831","PTK7",1,1,1,1,1,0,1,1,1,1,1
"834","ILK",1,1,1,1,1,1,1,1,1,1,1
"842","PICALM",1,1,1,1,1,1,1,1,0,0,1
"846","DCTN2",1,1,1,1,1,1,1,1,0,0,1
"850","MOGS",1,1,1,1,1,1,1,0,0,1,1
"855","SCARB2",1,1,1,1,1,1,1,0,0,1,1
"860","EFR3A",1,1,1,1,1,1,1,1,0,0,1
"862","MLEC",1,1,1,1,1,1,1,0,0,1,1
"864","DYNC1H1",1,1,1,1,1,0,1,1,1,1,1
"866","FLOT2",1,1,1,1,1,1,1,1,1,1,1
