"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"148","RTN3",1,1,1,1,1,1,1,0,0,0,1
"149","VAPB",1,0,0,0,0,0,0,0,0,0,0
"150","MPZL1",1,0,0,1,0,0,1,0,0,1,1
"151","PGLS",1,1,1,1,1,1,1,1,1,0,1
"152","LYPLA2",1,0,1,1,0,1,0,1,0,0,1
"153","TNFAIP8",1,1,1,1,0,0,1,0,1,1,0
"154","SLC34A2",1,1,1,1,1,1,1,1,1,1,1
"155","FMNL1",1,1,1,1,0,1,1,1,1,1,1
"156","SGPL1",1,1,0,1,0,0,0,0,0,0,0
"157","CLDN7",1,0,0,0,1,0,0,1,0,0,1
"158","H6PD",1,1,1,0,0,1,1,0,0,0,0
"159","VNN1",1,0,0,0,0,0,0,1,1,0,0
"160","VNN2",1,1,0,0,0,0,1,0,0,0,0
"161","ACSL3",1,1,0,1,1,0,0,0,0,0,0
"162","AP2A1",1,1,1,1,1,1,1,1,1,1,1
"163","CAVIN2",1,0,1,1,0,0,1,0,0,0,0
"164","CLDN1",1,1,1,1,1,1,1,1,1,1,1
"165","CLIC3",1,1,1,1,0,1,1,0,0,0,0
"166","GNA14",1,1,1,1,0,1,1,1,1,0,1
"167","BPNT1",1,0,0,0,1,0,0,1,0,0,1
"168","DDAH2",1,1,1,1,1,1,1,1,1,0,1
"169","ABHD16A",1,0,0,0,0,0,0,0,0,0,0
"170","TXNDC12",1,0,0,1,0,0,0,0,0,0,0
"171","CLPTM1",1,0,0,0,0,0,0,0,0,0,1
"172","TOMM40",1,0,0,0,0,0,0,0,0,0,0
"173","PEX11B",1,0,0,0,1,0,0,1,0,0,1
"174","CYB5A",1,1,1,1,1,1,1,0,0,1,0
"175","ADH1B",1,0,1,1,0,1,1,0,0,1,0
"176","CYB5R3",1,1,0,0,1,1,1,0,0,0,0
"177","GSR",1,0,0,1,0,0,1,0,0,0,1
"178","MT-CO2",1,1,1,1,1,1,1,0,0,0,1
"179","SOD1",1,1,0,1,1,1,0,1,0,0,1
"180","PNP",1,1,0,1,1,1,0,0,0,1,1
"181","HPRT1",1,0,0,0,1,0,0,1,0,0,1
