"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"896","PPA1",1,1,1,1,0,1,1,1,1,1,1
"897","PTGES3",1,0,1,1,1,0,0,1,0,0,0
"898","RAB35",1,1,0,0,1,1,1,1,0,1,1
"899","RCN1",1,1,1,1,1,1,1,0,1,0,1
"900","TMED2",1,1,1,1,1,1,0,0,0,1,1
"901","PCBP1",1,0,1,1,1,0,1,0,1,0,1
"902","ELOB",1,0,1,1,1,0,0,1,1,1,1
"903","DHCR24",1,0,0,0,0,0,0,0,0,0,0
"904","SF3B3",1,0,0,0,1,0,0,0,0,0,0
"905","CNN3",1,0,1,1,0,0,1,0,0,0,0
"906","RPS6KA1",1,0,0,1,0,0,0,0,0,0,0
"907","SEC23A",1,1,0,1,1,0,1,1,0,1,1
"908","SEC23B",1,0,0,0,1,0,0,1,0,0,0
"909","SLC9A3R2",1,1,0,1,1,1,1,1,1,1,1
"910","TRAM1",1,0,0,0,1,0,0,0,0,0,0
"911","TSN",1,0,0,0,1,0,0,0,0,0,1
"912","TRIP10",1,1,0,0,0,0,0,0,0,0,1
"913","MAPRE1",1,1,1,0,1,0,1,1,0,0,1
"914","NSDHL",1,0,0,0,0,1,0,0,0,0,1
"915","SLC1A5",1,1,1,1,1,1,1,1,1,1,1
"916","STXBP2",1,1,1,1,1,1,1,1,1,1,1
"917","VAMP3",1,0,1,1,1,1,1,1,1,1,1
"918","NEDD8",1,1,1,1,1,1,1,0,0,0,1
"919","ATP6AP1",1,0,0,0,0,0,0,0,0,0,0
"920","RAB11B",1,1,1,1,1,0,1,1,1,1,1
"921","ZYX",1,0,1,1,0,0,0,0,0,0,1
"922","SEPTIN7",1,1,1,1,1,1,1,0,1,1,0
"923","UAP1",1,0,0,0,0,0,0,0,0,0,0
"924","LAMA4",1,0,1,1,0,0,1,0,0,1,0
"925","PSMD5",1,1,1,1,1,1,1,1,0,1,0
"926","SYPL1",1,0,1,1,1,1,1,0,0,0,1
"927","DBN1",1,1,1,0,0,1,1,1,0,0,1
"928","PTGIS",1,1,1,1,1,1,1,0,0,1,0
"929","FSCN1",1,1,1,1,1,1,1,0,0,1,0
"930","MAN2A1",1,0,0,0,0,0,0,0,0,0,0
"931","NDUFA9",1,0,0,1,0,0,0,0,0,0,0
"932","UGP2",1,1,0,1,1,0,1,0,1,1,1
"933","AOC3",1,1,1,1,1,1,0,0,0,1,0
"934","TXNRD1",1,0,0,1,1,1,1,0,0,0,1
"935","IMMT",1,1,1,1,1,1,1,0,0,1,1
"936","C5orf64",1,0,0,0,0,0,0,0,0,0,0
"937","WASHC4",1,0,1,0,0,0,0,0,0,0,0
"938","HLA-DRB5",1,1,1,1,1,1,1,1,1,1,1
"939","P3H1",1,1,1,1,0,0,0,0,0,1,0
"940","TKFC",1,1,1,1,1,1,1,1,0,0,1
"941","TIMM50",1,1,0,1,0,0,0,0,0,0,0
"942","TBC1D10B",1,0,0,0,0,0,0,0,0,0,1
"943","ANO6",1,1,1,1,1,1,1,1,1,1,1
"944","RFTN2",1,0,1,0,0,0,0,0,1,0,1
"945","PDCD4",1,0,1,0,0,1,0,0,0,0,0
"946","SLC44A4",1,0,0,1,0,0,1,1,0,1,0
"947","HSD17B12",1,1,1,1,1,1,1,0,0,0,1
"948","AGK",1,0,0,1,0,0,0,0,0,0,1
"949","RAB6C",1,0,1,1,0,0,0,1,0,0,1
"950","CYBRD1",1,1,1,1,1,1,1,1,0,1,1
"951","WDR81",1,0,0,0,0,0,0,0,0,0,0
"952","C5orf47",1,0,0,1,1,0,0,0,1,1,0
"953","HSP90AB2P",1,0,0,1,0,1,1,0,0,0,0
"954","TMEM97",1,0,0,0,0,0,0,0,0,0,0
"955","MEST",1,1,1,1,0,1,0,0,0,0,1
"956","CRB2",1,0,1,1,1,1,1,0,0,1,1
"957","MIA3",1,0,0,0,0,0,0,0,0,0,0
"958","GNAS",1,1,1,1,1,1,1,1,1,1,1
"959","SLC27A3",1,0,0,0,0,0,0,0,0,0,0
"960","COLEC12",1,0,1,1,0,0,1,0,0,0,0
"961","ODR4",1,0,0,0,0,0,0,0,0,0,0
"962","FKBP15",1,0,1,1,1,0,0,0,0,0,0
"963","MPP7",1,0,0,0,0,0,0,0,0,0,0
"964","UBR4",1,0,0,1,1,0,0,1,0,0,0
"965","WLS",1,0,0,0,0,0,0,0,0,0,0
"966","H3-7",1,1,1,1,0,0,1,0,1,0,1
"967","ANXA8L1",1,1,1,1,1,1,1,0,0,1,1
"968","IRAK1BP1",1,1,0,0,0,1,0,0,0,0,0
"969","BROX",1,0,0,1,1,0,1,1,1,1,1
"970","CARMIL1",1,0,0,0,0,0,1,1,0,0,0
"971","CD276",1,1,1,1,1,1,1,1,1,1,0
"972","STEAP3",1,0,0,0,1,0,0,0,0,0,0
"973","STEAP4",1,1,1,1,0,1,1,1,1,1,1
"974","ATL3",1,1,1,1,1,1,1,0,0,1,1
"975","LAMTOR1",1,1,1,1,1,1,0,0,0,0,0
"976","TWF2",1,0,0,1,1,1,1,0,0,0,1
"977","RHBDD2",1,0,0,0,0,0,0,0,0,0,0
"978","SLC25A24",1,0,1,1,0,0,0,0,0,0,1
"979","RETSAT",1,0,0,1,0,0,0,0,0,0,0
"980","CAVIN1",1,1,0,0,1,0,1,1,0,1,0
"981","LPCAT3",1,1,1,1,0,0,1,0,0,0,1
"982","SLC27A4",1,0,0,0,0,0,0,0,0,0,0
"983","EDC4",1,1,0,1,0,0,0,0,0,0,1
"984","PRPF8",1,0,0,0,0,0,0,0,0,0,0
"985","PLBD1",1,0,0,0,0,0,0,0,0,0,0
"986","CNNM4",1,0,0,0,1,0,1,1,0,0,0
"987","MEAK7",1,1,1,1,1,1,1,1,0,0,1
"988","SLC27A1",1,0,0,1,0,0,1,0,0,0,0
"989","NCEH1",1,0,0,1,1,0,1,0,0,0,1
"990","AGTRAP",1,0,0,1,1,0,1,1,0,1,1
"991","SARM1",1,0,0,0,0,0,0,0,0,0,0
"992","CYP20A1",1,0,0,1,0,0,0,0,0,0,0
"993","TMEM205",1,1,1,1,1,1,0,0,0,0,1
"994","C16orf54",1,0,0,0,0,0,0,0,1,0,1
"995","SBSN",1,1,0,0,0,1,1,0,0,0,1
"996","OLFM4",1,1,1,1,1,1,1,1,0,0,1
"997","SEZ6L2",1,0,0,0,0,0,0,0,0,0,0
"998","HACD2",1,0,0,0,0,0,0,0,0,0,0
"999","CD109",1,1,1,1,1,1,1,0,1,1,1
"1000","RIPOR1",1,1,1,1,0,1,0,0,0,0,1
"1001","TMPPE",1,0,0,0,0,0,0,0,0,0,0
"1002","LHFPL2",1,1,0,1,0,0,0,0,1,0,1
"1003","VPS13C",1,0,1,1,0,1,1,1,0,0,0
"1004","IKBIP",1,0,1,1,0,0,0,0,0,0,1
"1005","H3C15",1,0,1,1,0,1,1,0,0,1,0
"1006","SND1",1,0,1,1,1,1,1,1,1,0,0
"1007","CYFIP1",1,1,1,1,1,1,1,1,1,1,1
"1008","LPCAT2",1,1,0,1,0,1,0,0,0,0,0
"1009","MOB1B",1,0,1,1,0,1,1,0,1,0,1
"1010","HS2ST1",1,1,1,1,0,1,0,0,0,0,0
"1011","ERMP1",1,0,0,0,0,0,0,0,0,0,0
"1012","ZC3HAV1",1,1,1,1,1,1,1,1,1,1,1
"1013","MYH14",1,1,0,1,1,1,0,0,1,0,0
"1014","CLASP1",1,0,0,0,0,0,0,0,0,0,0
"1015","GOLGA7",1,0,0,1,1,1,1,1,1,0,1
"1016","APBB1IP",1,1,0,0,0,0,1,0,1,0,1
"1017","HUWE1",1,0,1,1,1,0,1,1,0,0,0
"1018","TMED4",1,0,1,1,0,1,0,0,0,0,1
"1019","GALNT7",1,0,0,0,0,0,0,0,0,0,0
"1020","SYVN1",1,0,0,0,0,1,0,0,0,0,1
"1021","MTDH",1,0,0,0,0,0,0,0,0,0,0
"1022","KTN1",1,0,1,0,0,0,0,0,0,0,0
"1023","FERMT3",1,1,0,1,1,1,1,1,1,1,1
"1024","CAND1",1,1,0,1,0,0,1,0,1,1,0
"1025","RETREG3",1,0,0,0,0,0,0,0,0,0,0
"1026","THOC6",1,0,0,0,0,1,0,0,0,0,0
"1027","PKHD1L1",1,0,0,1,1,0,0,0,0,0,0
"1028","STING1",1,1,1,1,1,1,1,0,0,1,0
"1029","LSR",1,1,0,1,1,1,1,1,0,0,1
"1030","STX12",1,1,1,1,1,0,0,0,0,0,1
"1031","C2CD5",1,1,1,1,1,1,1,0,0,0,1
"1032","RHPN2",1,1,0,0,1,0,1,1,0,0,1
"1033","ERC1",1,0,0,0,0,0,1,0,1,0,0
"1034","MFN1",1,0,0,0,1,0,0,0,0,0,0
"1035","SLC44A2",1,1,1,1,1,1,1,1,1,1,0
"1036","DNAJC10",1,0,1,0,0,1,0,0,0,0,1
"1037","KIAA2013",1,0,0,0,0,0,0,0,0,0,0
"1038","ALDH16A1",1,1,0,1,0,0,0,1,0,0,0
"1039","PELP1",1,0,1,0,0,1,0,0,0,0,0
"1040","ABI1",1,1,1,1,1,1,1,1,1,1,1
"1041","ADGRG2",1,0,0,1,0,0,1,1,0,1,1
"1042","VKORC1L1",1,0,0,1,0,0,0,0,0,0,1
"1043","ORMDL3",1,1,1,1,0,1,0,0,0,0,0
"1044","CCAR2",1,0,0,1,0,0,0,0,0,0,1
"1045","SYS1",1,0,0,0,0,0,0,0,0,0,0
"1046","ABHD12",1,0,1,1,0,1,0,0,0,0,0
"1047","SLC43A2",1,1,0,1,0,0,0,0,0,0,1
"1048","PLCD3",1,0,0,1,0,1,0,0,0,0,1
"1049","PALS1",1,1,1,1,1,1,1,0,0,0,1
"1050","LILRB2",1,1,0,0,0,0,0,1,1,0,1
"1051","ARRDC1",1,0,0,1,1,0,1,1,1,0,0
"1052","CISD2",1,0,1,1,0,1,0,0,0,0,0
"1053","JAGN1",1,0,0,0,0,0,0,0,0,0,0
"1054","EMC1",1,0,0,1,0,0,0,0,0,0,1
"1055","ENAH",1,1,0,0,1,0,0,1,0,0,0
"1056","COLGALT1",1,1,1,1,1,1,1,0,0,0,1
"1057","SUMF2",1,0,1,0,0,0,0,0,0,0,1
"1058","POGLUT1",1,0,0,0,0,0,0,0,0,0,0
"1059","TMEM87A",1,0,0,0,0,0,0,0,0,0,0
"1060","HSD17B11",1,1,1,1,1,1,0,0,0,1,1
"1061","TXNDC5",1,1,1,0,1,1,0,0,0,1,0
"1062","SCCPDH",1,0,1,1,1,1,0,0,0,0,1
"1063","DAGLB",1,0,0,1,1,0,0,0,0,0,0
"1064","CCNY",1,1,1,1,1,1,1,1,0,1,1
"1065","MAPK1IP1L",1,0,0,0,0,0,0,0,0,0,1
"1066","NPEPL1",1,0,0,0,0,0,0,0,0,0,0
"1067","DIPK2A",1,0,0,0,0,0,0,0,0,0,0
"1068","SLC30A7",1,1,1,1,0,1,0,0,0,0,1
"1069","LPCAT1",1,0,0,0,1,0,0,0,0,0,0
"1070","GPRC5A",1,1,1,1,1,1,1,0,1,1,1
"1071","TOR1AIP2",1,1,1,0,0,0,0,0,0,0,1
"1072","ATL2",1,0,1,1,0,0,0,0,0,0,0
"1073","LILRB1",1,1,1,1,1,1,1,1,1,1,0
"1074","THOC2",1,0,0,0,0,0,0,0,0,0,0
"1075","PATJ",1,0,0,0,1,0,1,0,0,0,1
"1076","VANGL1",1,0,0,0,0,0,0,0,0,0,0
"1077","C12orf75",1,1,1,1,0,1,0,0,1,0,1
"1078","SLC35B2",1,0,0,0,0,0,0,0,0,0,0
"1079","GOLGA5",1,0,0,0,0,0,0,0,0,0,0
"1080","TMEM167A",1,0,0,0,0,0,0,0,0,0,0
"1081","RDH11",1,1,0,1,0,0,0,0,0,0,1
"1082","STT3B",1,1,1,1,0,1,1,0,0,0,1
"1083","HM13",1,1,1,1,1,0,0,0,0,1,0
"1084","PLEKHO2",1,1,1,1,1,1,1,1,1,1,1
"1085","DTX3L",1,0,1,0,0,0,0,0,0,0,0
"1086","EPS8L1",1,1,1,1,1,1,1,1,1,1,1
"1087","GPX8",1,0,0,1,0,1,0,0,0,0,0
"1088","CEMIP",1,0,0,0,0,0,0,1,0,1,1
"1089","PDCD6IP",1,1,1,0,1,0,1,1,1,1,1
"1090","LRRN4",1,1,1,1,1,1,1,0,1,1,0
"1091","SLC44A1",1,1,1,1,1,1,1,1,1,0,1
"1092","GIMAP1",1,0,1,0,0,0,0,0,0,0,0
"1093","MUC16",1,0,1,0,0,0,1,0,1,1,0
"1094","BRI3BP",1,1,1,1,1,1,0,0,0,0,0
"1095","SMPDL3B",1,1,1,1,1,1,1,1,1,1,1
"1096","SLC39A7",1,0,1,1,0,0,0,0,0,0,0
"1097","FAM3C",1,1,1,1,1,1,0,0,0,0,0
"1098","PSMF1",1,1,1,1,0,1,0,0,0,1,0
"1099","GBF1",1,0,0,0,0,0,0,0,0,0,0
"1100","NCSTN",1,1,1,1,1,1,1,1,0,1,1
"1101","TM9SF4",1,1,1,1,1,1,0,0,0,0,1
"1102","UBXN4",1,0,0,0,0,0,0,0,0,0,0
"1103","NDRG1",1,1,1,1,1,1,1,0,1,1,1
"1104","MYO18A",1,1,1,1,1,1,1,0,1,0,1
"1105","GCN1",1,0,1,0,1,1,0,0,0,0,0
"1106","PXDN",1,1,0,1,1,1,0,0,0,0,0
"1107","ALG3",1,0,0,0,0,0,0,0,0,0,0
"1108","NECTIN2",1,0,1,1,1,1,1,1,1,1,1
"1109","TFG",1,1,1,1,1,0,0,0,1,0,0
"1110","DDX17",1,0,1,0,0,1,0,1,0,0,0
"1111","GLG1",1,1,1,1,1,1,1,0,0,0,0
"1112","RAB8B",1,1,1,1,1,1,1,0,1,1,0
"1113","NINJ1",1,1,0,1,0,1,0,0,1,0,0
"1114","USP9X",1,0,0,0,1,1,0,1,0,0,0
"1115","ATP2A3",1,0,0,1,1,0,0,0,0,0,1
"1116","PIGT",1,0,0,0,0,1,0,0,0,0,0
"1117","NCLN",1,0,0,1,0,1,0,0,0,0,0
"1118","TMBIM1",1,0,1,1,1,1,1,0,1,1,1
"1119","ERGIC1",1,1,0,1,1,1,0,0,0,0,1
"1120","FAM162A",1,1,0,1,1,0,0,0,0,0,1
"1121","CCDC47",1,1,1,1,0,0,0,0,0,0,1
"1122","EXOC4",1,0,1,0,0,0,0,0,0,0,0
"1123","FERMT2",1,1,1,1,1,1,1,1,1,1,0
"1124","LRRC59",1,0,1,1,1,1,1,0,0,0,1
"1125","PBXIP1",1,1,0,0,0,0,0,0,0,0,1
"1126","FKBP10",1,0,0,1,0,0,0,0,0,0,1
"1127","AIDA",1,1,1,1,1,1,1,0,1,0,1
"1128","ISOC1",1,0,0,0,1,0,1,0,0,0,0
"1129","FAF2",1,1,1,1,1,0,0,0,0,0,1
"1130","AP2M1",1,1,1,1,1,0,1,1,1,1,1
"1131","KCTD12",1,1,0,0,1,0,1,0,1,1,0
"1132","HVCN1",1,1,1,1,0,0,1,0,0,0,1
"1133","CYFIP2",1,1,1,1,1,1,1,0,1,1,1
"1134","CPNE2",1,1,0,1,1,1,1,1,1,1,1
"1135","S100A16",1,1,1,1,1,1,1,1,1,1,1
"1136","PGM2",1,0,0,1,0,1,1,0,0,0,0
"1137","RUSF1",1,0,0,1,1,0,0,0,0,0,1
"1138","ERO1A",1,1,0,1,1,0,0,0,0,0,1
"1139","DDRGK1",1,0,1,1,1,1,0,0,0,0,0
"1140","ABHD14B",1,0,0,1,1,1,1,1,0,0,0
"1141","ATP5MK",1,0,1,1,0,0,0,0,0,0,1
"1142","ITCH",1,0,0,1,0,0,0,1,0,0,0
"1143","ABCC11",1,0,0,0,0,0,0,0,0,1,0
"1144","TMX3",1,1,0,1,1,0,0,0,0,0,0
"1145","RNF170",1,0,0,1,0,0,0,0,0,0,1
"1146","SLC35E1",1,1,0,0,0,1,0,0,0,0,0
"1147","TMEM87B",1,0,1,0,0,0,0,0,0,0,0
"1148","CLPTM1L",1,0,0,1,1,1,0,0,0,0,0
"1149","CNDP2",1,1,1,1,1,1,1,1,1,1,1
"1150","TRIM47",1,0,0,1,0,1,0,0,0,0,0
"1151","MBOAT7",1,1,1,1,1,1,1,0,0,0,1
"1152","CLIC6",1,1,1,1,0,0,1,0,0,0,0
"1153","RBM14",1,0,1,0,0,0,0,0,0,0,0
"1154","PLIN4",1,0,1,1,0,1,0,0,0,0,0
"1155","SLC38A2",1,0,0,0,1,0,0,1,0,0,0
"1156","VPS35",1,1,1,1,1,1,1,0,0,0,1
"1157","SNX18",1,1,1,1,0,0,0,0,0,0,1
"1158","ERGIC2",1,1,0,1,0,1,1,0,0,0,1
"1159","HMCN1",1,0,0,0,0,0,0,0,1,0,0
"1160","PIGS",1,1,1,1,0,0,0,0,0,0,0
"1161","CLCC1",1,0,0,0,0,0,0,0,0,0,0
"1162","MYADM",1,1,1,1,1,1,1,1,1,1,1
"1163","GPX7",1,0,0,0,0,0,0,0,0,0,0
"1164","CYP2S1",1,0,0,1,0,0,0,0,0,0,0
"1165","NIBAN2",1,1,1,1,1,1,1,1,1,1,1
"1166","CNN2",1,1,1,1,1,0,1,1,0,0,1
"1167","SEC62",1,1,1,1,1,1,0,0,0,0,1
"1168","CD180",1,0,0,1,0,1,0,0,0,0,0
"1169","PFDN5",1,0,0,0,1,0,0,1,0,0,0
"1170","PARK7",1,1,1,1,1,1,1,1,1,1,1
"1171","SORT1",1,0,0,0,0,0,0,1,0,0,1
"1172","VAT1",1,1,1,1,1,1,1,0,1,1,1
"1173","S100A13",1,0,0,0,0,0,1,0,0,0,0
"1174","EIF3C",1,1,0,1,1,1,1,1,0,0,1
"1175","PHB2",1,1,1,1,1,1,1,0,0,1,1
"1176","CHP1",1,1,1,1,1,1,1,0,1,1,1
"1177","HSD17B10",1,0,1,0,1,0,0,0,0,0,0
"1178","COL12A1",1,0,1,1,1,0,1,0,1,1,1
"1179","MGST2",1,0,0,0,0,0,1,0,0,0,1
"1180","TM9SF2",1,1,0,1,1,1,0,0,0,0,0
"1181","TSG101",1,0,0,1,1,1,1,1,1,1,1
"1182","CIB1",1,1,0,1,0,1,1,1,1,1,0
"1183","CPNE1",1,1,1,1,0,1,1,1,1,1,1
"1184","CCT7",1,1,1,0,1,0,0,1,1,1,0
"1185","RARRES2",1,0,0,0,1,0,0,0,0,0,0
"1186","CYBC1",1,1,1,1,1,1,0,0,0,0,0
"1187","APOL2",1,0,1,0,1,1,0,0,0,0,0
"1188","SDF4",1,0,0,0,0,0,0,0,0,0,0
"1189","ADPGK",1,1,1,1,0,1,0,0,0,0,0
"1190","PRXL2A",1,0,0,1,1,0,0,0,0,0,1
"1191","ERP44",1,1,0,1,1,1,0,0,0,1,1
"1192","LXN",1,1,1,1,1,1,1,0,0,1,0
"1193","ESYT1",1,1,1,1,1,1,1,1,0,1,1
"1194","CCM2",1,1,1,1,1,1,1,1,0,0,0
"1195","CNPY3",1,0,0,0,1,1,0,0,0,0,1
"1196","ALG1",1,0,1,0,0,1,0,0,0,0,0
"1197","LRRC1",1,0,0,0,1,1,0,1,0,0,0
"1198","TMEM43",1,1,1,1,1,1,1,0,0,1,1
"1199","TUBB6",1,0,0,1,1,0,0,1,0,0,0
"1200","PDCD10",1,1,1,1,1,1,1,1,0,0,1
"1201","DERL1",1,0,0,0,0,0,0,0,0,0,0
"1202","WDR18",1,0,1,0,0,1,0,0,0,0,1
"1203","VAMP8",1,1,1,1,1,1,1,1,1,1,1
"1204","TMED9",1,1,1,1,1,1,1,0,0,1,1
"1205","ELOVL1",1,0,0,0,0,1,0,0,0,0,0
"1206","SFXN3",1,0,1,0,0,0,1,0,0,0,0
"1207","YIPF2",1,0,0,0,0,0,0,0,0,0,0
"1208","CHID1",1,0,0,0,0,1,0,0,0,0,1
"1209","TAPBPL",1,1,0,0,0,0,0,0,0,0,0
"1210","TBC1D10A",1,0,1,1,0,0,1,0,0,0,1
"1211","CFHR5",1,0,0,1,1,0,0,1,0,1,1
"1212","EMILIN2",1,1,1,1,0,0,1,0,0,1,0
"1213","SEC11C",1,0,1,1,0,1,0,0,0,0,0
"1214","RAB34",1,0,1,1,0,0,1,0,0,0,0
"1215","NIBAN1",1,1,1,0,1,1,1,1,1,1,1
"1216","UBXN6",1,0,1,1,0,0,1,0,0,0,1
"1217","SLC19A3",1,1,1,1,0,0,1,0,0,0,0
"1218","TTYH3",1,1,1,1,0,1,0,1,0,1,1
"1219","SLC39A8",1,1,1,1,1,1,1,1,0,1,1
"1220","MAGT1",1,1,1,1,0,0,0,0,0,0,1
"1221","RAB1B",1,0,1,1,1,1,1,1,1,0,0
"1222","LMAN2L",1,0,0,1,1,0,0,0,0,0,1
"1223","TMX4",1,0,1,1,0,0,0,0,0,0,0
"1224","EHD4",1,1,1,1,1,0,1,1,1,1,0
"1225","SH3BGRL3",1,0,0,1,0,0,1,0,0,1,1
"1226","SLK",1,1,1,1,1,1,1,0,0,0,1
"1227","RAB3GAP2",1,0,0,0,0,0,0,0,0,0,0
"1228","TXNIP",1,1,1,1,1,0,1,1,1,1,1
"1229","TMX1",1,1,1,1,1,1,0,0,0,0,1
"1230","DNAJC5",1,1,1,1,1,1,1,1,1,1,1
"1231","POFUT1",1,1,0,0,0,0,0,0,0,0,1
"1232","RNPEP",1,0,1,1,0,1,1,1,0,0,0
"1233","EPB41L1",1,0,0,0,1,0,0,0,0,0,1
"1234","GLIPR2",1,1,1,1,1,0,1,1,1,1,1
"1235","EHD1",1,1,1,1,1,1,1,1,1,1,0
"1236","ALG2",1,0,1,1,0,0,0,0,0,0,1
"1237","CCDC134",1,0,0,0,0,0,0,0,0,0,0
"1238","METTL7A",1,1,1,1,1,1,1,0,0,1,1
"1239","SFXN1",1,0,0,0,0,0,0,0,0,0,0
"1240","VPS37B",1,0,1,1,0,0,1,1,1,1,1
"1241","SLC28A3",1,1,1,1,1,1,1,0,0,1,1
"1242","GNB4",1,1,1,1,0,1,0,0,1,1,1
"1243","RDH14",1,0,0,0,0,0,0,0,0,0,0
"1244","TMEM165",1,1,1,1,1,1,0,0,0,0,0
"1245","PLXNA4",1,1,0,1,0,0,1,0,0,0,1
"1246","CD248",1,1,0,1,1,0,1,0,1,1,1
"1247","PREB",1,0,0,0,0,0,0,0,0,0,1
"1248","ATP13A1",1,0,0,1,0,0,0,0,0,0,1
"1249","TM9SF3",1,1,1,1,1,1,1,1,0,0,1
"1250","VTA1",1,1,1,1,1,0,1,1,1,1,1
"1251","PLCB1",1,0,1,0,0,1,1,0,0,0,1
"1252","GPRC5C",1,1,1,1,1,1,1,1,1,1,1
"1253","RTN4",1,1,1,1,1,0,1,1,1,1,1
"1254","SAR1A",1,1,1,1,1,0,1,1,1,0,1
"1255","MXRA5",1,0,1,0,0,0,0,0,0,0,0
"1256","OSTC",1,1,1,1,1,1,1,0,0,1,1
"1257","HEBP1",1,1,1,1,0,1,0,1,1,0,0
"1258","RAB6B",1,0,1,1,0,0,1,0,1,1,1
"1259","APOBEC3C",1,0,1,0,0,1,0,0,0,0,0
"1260","VPS45",1,0,0,0,1,1,0,0,0,0,1
"1261","PLSCR3",1,1,1,1,1,1,1,1,1,1,1
"1262","TOMM22",1,0,1,1,0,0,0,0,0,0,1
"1263","SACM1L",1,1,1,1,1,0,0,0,0,0,1
"1264","OLA1",1,0,1,1,1,1,1,0,0,1,1
"1265","LMBRD1",1,0,0,0,0,1,0,0,0,0,0
"1266","LIN7C",1,1,1,1,0,1,1,1,1,1,1
"1267","UFSP2",1,0,0,1,0,0,0,0,0,0,1
"1268","CYRIB",1,1,1,1,1,1,1,1,1,1,1
"1269","GIMAP4",1,0,0,0,0,1,0,0,0,0,0
"1270","SEPTIN11",1,1,0,1,1,1,1,1,0,0,1
"1271","ARL8B",1,1,1,1,1,1,0,1,0,0,1
"1272","ANO10",1,1,0,1,0,0,0,0,0,0,1
"1273","OCIAD1",1,0,0,1,0,0,0,0,0,0,1
"1274","MARCHF5",1,0,0,0,0,0,0,0,0,0,0
"1275","TEX10",1,0,1,0,0,1,0,0,0,0,1
"1276","STAB1",1,0,0,1,0,1,0,1,0,0,1
"1277","CLDND1",1,0,0,0,1,0,0,1,1,1,0
"1278","SMPD3",1,1,1,1,0,1,1,0,1,0,1
"1279","FKBP11",1,1,1,0,0,0,0,0,0,0,0
"1280","BET1L",1,0,0,0,0,0,0,0,0,0,0
"1281","UGGT1",1,1,1,1,1,1,1,1,0,0,1
"1282","TECR",1,1,1,1,1,0,0,0,0,0,1
"1283","ERAP1",1,1,1,1,0,1,0,0,0,1,1
"1284","CISD1",1,1,1,1,0,1,1,0,0,0,1
"1285","CLIC5",1,1,1,1,1,1,1,1,1,1,1
"1286","FAM120A",1,1,1,0,1,1,0,0,0,0,0
"1287","GPRC5B",1,1,1,1,0,1,1,1,1,1,1
"1288","MYOF",1,0,1,0,1,0,1,1,1,1,0
"1289","EHD2",1,1,1,0,0,1,1,1,1,1,0
"1290","CNIH4",1,1,1,1,1,1,0,0,0,0,1
"1291","HACD3",1,1,1,1,0,1,0,0,0,0,1
"1292","EMC3",1,0,0,0,0,0,0,0,0,0,0
"1293","VAPA",1,1,1,1,1,1,1,1,0,1,1
"1294","ORMDL1",1,1,1,1,1,1,0,0,0,0,1
"1295","SH3BP4",1,1,1,1,0,1,1,0,0,1,1
"1296","ABI3",1,1,1,0,0,0,1,0,1,1,0
"1297","PTGFRN",1,1,1,1,1,1,1,1,1,1,1
"1298","RRBP1",1,1,0,1,1,0,1,1,1,1,0
"1299","LARS1",1,0,1,1,1,1,0,1,0,0,1
"1300","ANKFY1",1,0,1,1,0,1,0,1,0,0,0
"1301","STX18",1,0,0,0,0,0,0,0,0,0,0
"1302","MRC2",1,0,1,1,0,1,0,0,0,0,0
"1303","GNG12",1,1,1,1,1,1,1,1,1,1,0
"1304","DHCR7",1,0,0,0,0,0,0,0,0,0,1
"1305","VPS29",1,0,0,1,1,0,0,1,0,0,1
"1306","EXTL2",1,0,0,0,0,0,0,0,0,0,0
"1307","DNAJB11",1,1,1,1,0,1,0,1,0,0,1
"1308","SEL1L",1,0,1,1,0,0,0,0,0,0,1
"1309","PEF1",1,0,0,0,0,1,0,1,0,0,0
"1310","VTI1B",1,1,1,1,0,1,0,0,0,0,1
"1311","CD300A",1,1,0,1,0,1,1,1,1,0,0
"1312","SEC63",1,0,0,0,0,0,0,0,0,0,0
"1313","SUSD2",1,0,0,1,1,1,1,0,1,0,1
"1314","NDRG3",1,0,0,0,0,1,0,1,0,0,1
"1315","LAMTOR3",1,1,0,1,1,1,0,0,0,0,1
"1316","LIMA1",1,0,1,0,0,1,1,0,0,0,0
"1317","SEPTIN9",1,1,0,1,0,1,1,1,1,0,1
"1318","STEAP1",1,1,1,1,1,1,1,0,0,0,1
"1319","BCAP29",1,0,0,1,0,1,0,0,0,0,0
"1320","BAIAP2L1",1,0,0,0,0,1,1,0,1,1,1
"1321","ATP6V1H",1,0,0,0,1,1,0,1,0,0,1
"1322","LNPEP",1,1,0,1,0,0,0,0,0,0,0
"1323","PLXNA1",1,1,1,0,1,1,1,1,0,1,1
"1324","NAGK",1,0,1,1,0,1,0,1,1,0,1
"1325","SLC25A13",1,0,0,1,0,0,0,0,0,0,1
"1326","STOML2",1,0,1,1,0,0,0,0,0,0,1
"1327","VPS28",1,0,0,1,0,0,0,0,0,0,0
"1328","PILRA",1,0,0,0,0,0,0,0,1,0,1
"1329","PARP4",1,1,1,1,1,1,1,0,0,0,1
"1330","MAN1B1",1,0,0,0,0,0,0,0,0,0,0
"1331","RAB21",1,1,1,1,1,1,1,1,0,0,1
"1332","RAB22A",1,0,0,1,0,1,1,1,1,1,1
"1333","PSME2",1,1,1,1,0,1,0,1,1,1,1
"1334","RAB23",1,1,1,0,0,1,1,0,0,1,1
