"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"111","GGCT","GGCT","O75223",1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"112","CILP","CILP","O75339",1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
"113","TBCA","TBCA","O75347",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"114","ATP6V1G1","ATP6V1G1","O75348",1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
"115","VPS4B","VPS4B","O75351",1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0
"116","MPDU1","MPDU1","O75352",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"117","MACROH2A1","H2AFY","O75367",1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"118","FLNB","FLNB","O75369",1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0
"119","SEC22B","SEC22B","O75396",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"120","ERLIN1","ERLIN1","O75477",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"121","GPC4","GPC4","O75487",1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0
"122","STX11","STX11","O75558",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"123","PGLYRP1","PGLYRP1","O75594",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","RP2","RP2","O75695",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"125","CRTAP","CRTAP","O75718",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"126","PALM","PALM","O75781",1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"127","UPK1B","UPK1B","O75841",1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0
"128","ZMPSTE24","ZMPSTE24","O75844",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
"129","CYP7B1","CYP7B1","O75881",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"130","STAM2","STAM2","O75886",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"131","DGAT1","DGAT1","O75907",1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"132","ARL6IP5","ARL6IP5","O75915",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"133","ATP5PD","ATP5H","O75947",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"134","TSPAN9","TSPAN9","O75954",1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0
"135","FLOT1","FLOT1","O75955",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"136","GLRX3","GLRX3","O76003",1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"137","WFS1","WFS1","O76024",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"138","SRP72","SRP72","O76094",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"139","B3GAT3","B3GAT3","O94766",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","STK10","STK10","O94804",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"141","TOMM70","TOMM70A","O94826",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","MYO1D","MYO1D","O94832",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"143","ERLIN2","ERLIN2","O94905",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"144","ENDOD1","ENDOD1","O94919",1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"145","AP2A2","AP2A2","O94973",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
"146","SEC31A","SEC31A","O94979",1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"147","ZFPL1","ZFPL1","O95159",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"148","RTN3","RTN3","O95197",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"149","VAPB","VAPB","O95292",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"150","MPZL1","MPZL1","O95297",1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0
"151","PGLS","PGLS","O95336",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
"152","LYPLA2","LYPLA2","O95372",1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
"153","TNFAIP8","TNFAIP8","O95379",1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
"154","SLC34A2","SLC34A2","O95436",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"155","FMNL1","FMNL1","O95466",1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
"156","SGPL1","SGPL1","O95470",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"157","CLDN7","CLDN7","O95471",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"158","H6PD","H6PD","O95479",1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1
"159","VNN1","VNN1","O95497",1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"160","VNN2","VNN2","O95498",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"161","ACSL3","ACSL3","O95573",1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
"162","AP2A1","AP2A1","O95782",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"163","CAVIN2","SDPR","O95810",1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"164","CLDN1","CLDN1","O95832",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"165","CLIC3","CLIC3","O95833",1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
"166","GNA14","GNA14","O95837",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
"167","BPNT1","BPNT1","O95861",1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0
"168","DDAH2","DDAH2","O95865",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"169","ABHD16A","ABHD16A","O95870",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","TXNDC12","TXNDC12","O95881",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"171","CLPTM1","CLPTM1","O96005",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"172","TOMM40","TOMM40","O96008",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"173","PEX11B","PEX11B","O96011",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"174","CYB5A","CYB5A","P00167",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1
"175","ADH1B","ADH1B","P00325",1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0
"176","CYB5R3","CYB5R3","P00387",1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1
"177","GSR","GSR","P00390",1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
"178","MT-CO2","MT-CO2","P00403",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"179","SOD1","SOD1","P00441",1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0
"180","PNP","PNP","P00491",1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
"181","HPRT1","HPRT1","P00492",1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0
"182","EGFR","EGFR","P00533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"183","PGK1","PGK1","P00558",1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
"184","AK1","AK1","P00568",1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0
"185","F9","F9","P00740",1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"186","PLAT","PLAT","P00750",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"187","CA1","CA1","P00915",1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0
"188","ASS1","ASS1","P00966",1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
"189","TIMP1","TIMP1","P01033",1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1
"190","CST3","CST3","P01034",1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
"191","KRAS","KRAS","P01116",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"192","CD8A","CD8A","P01732",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"193","HLA-B","HLA-B","P01889",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"194","HLA-H","HLA-H","P01893",1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0
"195","HLA-DQA2","HLA-DQA2","P01906",1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
