"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"547","EIF4A3","EIF4A3","P38919",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"548","RPL3","RPL3","P39023",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"549","DDOST","DDOST","P39656",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1
"550","CAPG","CAPG","P40121",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0
"551","IL6ST","IL6ST","P40189",1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
"552","CCT6A","CCT6A","P40227",1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0
"553","NNMT","NNMT","P40261",1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
"554","ARL1","ARL1","P40616",1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"555","STAT3","STAT3","P40763",1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
"556","MDH1","MDH1","P40925",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"557","MDH2","MDH2","P40926",1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0
"558","HADHA","HADHA","P40939",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
"559","EIF2S3","EIF2S3","P41091",1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"560","CD200","CD200","P41217",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
"561","IARS1","IARS","P41252",1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"562","PRKCI","PRKCI","P41743",1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0
"563","STAT1","STAT1","P42224",1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
"564","PI4KA","PI4KA","P42356",1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0
"565","EPS15","EPS15","P42566",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"566","RPS27","RPS27","P42677",1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"567","FRK","FRK","P42685",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"568","GPD2","GPD2","P43304",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"569","ALDH3B1","ALDH3B1","P43353",1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
"570","SYK","SYK","P43405",1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
"571","VDAC2","VDAC2","P45880",1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0
"572","USP5","USP5","P45974",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"573","NSF","NSF","P46459",1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0
"574","RPL5","RPL5","P46777",1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0
"575","RPL21","RPL21","P46778",1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1
"576","RPL28","RPL28","P46779",1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"577","RPS9","RPS9","P46781",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"578","RPS5","RPS5","P46782",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"579","RPS10","RPS10","P46783",1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0
"580","STT3A","STT3A","P46977",1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0
"581","CAPZA2","CAPZA2","P47755",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"582","CAPZB","CAPZB","P47756",1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0
"583","UQCRFS1","UQCRFS1","P47985",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"584","ATP5PO","ATP5O","P48047",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"585","LIMS1","LIMS1","P48059",1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0
"586","TM4SF4","TM4SF4","P48230",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"587","PIP4K2A","PIP4K2A","P48426",1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0
"588","ARCN1","ARCN1","P48444",1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"589","CD151","CD151","P48509",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"590","CCT5","CCT5","P48643",1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1
"591","IDH2","IDH2","P48735",1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
"592","ADGRE5","CD97","P48960",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
"593","MARCKSL1","MARCKSL1","P49006",1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0
"594","DNASE1L1","DNASE1L1","P49184",1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0
"595","ALDH9A1","ALDH9A1","P49189",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
"596","LMAN1","LMAN1","P49257",1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1
"597","NASP","NASP","P49321",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"598","FASN","FASN","P49327",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"599","CCT3","CCT3","P49368",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"600","TUFM","TUFM","P49411",1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0
"601","ALDH7A1","ALDH7A1","P49419",1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"602","AARS1","AARS","P49588",1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
"603","SARS1","SARS","P49591",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
"604","PSMB2","PSMB2","P49721",1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
"605","THBS3","THBS3","P49746",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606","ACADVL","ACADVL","P49748",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"607","TMED10","TMED10","P49755",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"608","RANBP2","RANBP2","P49792",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"609","GNAQ","GNAQ","P50148",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"610","GNG10","GNG10","P50151",1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0
"611","CRIP1","CRIP1","P50238",1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0
"612","GDI2","GDI2","P50395",1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
"613","CPT1A","CPT1A","P50416",1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"614","SERPINB9","SERPINB9","P50453",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"615","SERPINH1","SERPINH1","P50454",1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1
"616","ST13","ST13","P50502",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"617","VASP","VASP","P50552",1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
"618","DNM2","DNM2","P50570",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"619","BCAM","BCAM","P50895",1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0
"620","RPL14","RPL14","P50914",1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
"621","CCT8","CCT8","P50990",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
"622","CCT4","CCT4","P50991",1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0
"623","ANXA11","ANXA11","P50995",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"624","RAB5C","RAB5C","P51148",1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0
"625","RAB7A","RAB7A","P51149",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"626","PLCD1","PLCD1","P51178",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
"627","SSR4","SSR4","P51571",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"628","BCAP31","BCAP31","P51572",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"629","CAV2","CAV2","P51636",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"630","HSD17B4","HSD17B4","P51659",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
"631","VAMP7","VAMP7","P51809",1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"632","RPS6KA3","RPS6KA3","P51812",1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
"633","HNRNPA3","HNRNPA3","P51991",1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0
"634","PGD","PGD","P52209",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"635","HNRNPM","HNRNPM","P52272",1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0
"636","ARHGDIA","ARHGDIA","P52565",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"637","ARHGDIB","ARHGDIB","P52566",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"638","CAPZA1","CAPZA1","P52907",1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0
"639","CRIP2","CRIP2","P52943",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"640","SLC25A1","SLC25A1","P53007",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"641","ACLY","ACLY","P53396",1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0
"642","COPB1","COPB1","P53618",1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
"643","COPA","COPA","P53621",1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
"644","SLC16A1","SLC16A1","P53985",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"645","IST1","IST1","P53990",1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0
"646","RARS1","RARS","P54136",1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0
"647","CACNA2D1","CACNA2D1","P54289",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"648","HSPA2","HSPA2","P54652",1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0
"649","ATP1B3","ATP1B3","P54709",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"650","EPHB4","EPHB4","P54760",1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0
"651","NAPA","NAPA","P54920",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
"652","MFAP2","MFAP2","P55001",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"653","SLC12A2","SLC12A2","P55011",1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"654","CSE1L","CSE1L","P55060",1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"655","TMBIM6","TMBIM6","P55061",1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"656","MFAP4","MFAP4","P55083",1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1
"657","MANF","MANF","P55145",1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"658","NCKAP1L","NCKAP1L","P55160",1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0
"659","AFDN","MLLT4","P55196",1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0
"660","NAP1L1","NAP1L1","P55209",1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0
"661","LAMB2","LAMB2","P55268",1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0
"662","SEC13","SEC13","P55735",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
"663","NPEPPS","NPEPPS","P55786",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"664","HNRNPH2","HNRNPH2","P55795",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"665","EIF3B","EIF3B","P55884",1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0
"666","FCGRT","FCGRT","P55899",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"667","ATP5MF","ATP5J2","P56134",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"668","MARS1","MARS","P56192",1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
"669","TMEM33","TMEM33","P57088",1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
"670","EPPK1","EPPK1","P58107",1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
"671","ANTXR2","ANTXR2","P58335",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"672","GNG2","GNG2","P59768",1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
"673","ARPC4","ARPC4","P59998",1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0
"674","CD81","CD81","P60033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"675","SEC61G","SEC61G","P60059",1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"676","PSMA6","PSMA6","P60900",1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
"677","S100A10","S100A10","P60903",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"678","CDC42","CDC42","P60953",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"679","DSTN","DSTN","P60981",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
"680","GMFB","GMFB","P60983",1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
"681","RAB8A","RAB8A","P61006",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"682","RAB2A","RAB2A","P61019",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
"683","RAB5B","RAB5B","P61020",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"684","RAB10","RAB10","P61026",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"685","RAB14","RAB14","P61106",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
"686","ACTR3","ACTR3","P61158",1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0
"687","ACTR2","ACTR2","P61160",1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0
"688","ACTR1A","ACTR1A","P61163",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
"689","RAP1B","RAP1B","P61224",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"690","RAP2B","RAP2B","P61225",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"691","RPS3A","RPS3A","P61247",1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0
"692","RPL26","RPL26","P61254",1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
"693","RPL15","RPL15","P61313",1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1
"694","RPL27","RPL27","P61353",1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
"695","ATP6V0D1","ATP6V0D1","P61421",1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0
"696","RHOA","RHOA","P61586",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"697","HSPE1","HSPE1","P61604",1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0
"698","SEC61A1","SEC61A1","P61619",1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"699","LYZ","LYZ","P61626",1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
"700","COPZ1","COPZ1","P61923",1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
"701","YWHAG","YWHAG","P61981",1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
"702","RRAS2","RRAS2","P62070",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"703","RPS7","RPS7","P62081",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"704","PPP1CA","PPP1CA","P62136",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"705","PPP1CB","PPP1CB","P62140",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
"706","PSMC5","PSMC5","P62195",1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"707","RPS15A","RPS15A","P62244",1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"708","RPS16","RPS16","P62249",1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0
"709","RPS14","RPS14","P62263",1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
"710","RPS23","RPS23","P62266",1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0
"711","RPS18","RPS18","P62269",1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
"712","RPS13","RPS13","P62277",1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
"713","RPS11","RPS11","P62280",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
"714","SNRPD1","SNRPD1","P62314",1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0
"715","TMSB4X","TMSB4X","P62328",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"716","ARF6","ARF6","P62330",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"717","SELENOT","SELT","P62341",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"718","RPL7A","RPL7A","P62424",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"719","RPS4X","RPS4X","P62701",1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1
"720","RHOB","RHOB","P62745",1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
"721","RPL23A","RPL23A","P62750",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"722","H4C1","HIST1H4A","P62805",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1
"723","RAN","RAN","P62826",1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
"724","RPL23","RPL23","P62829",1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1
"725","RAP1A","RAP1A","P62834",1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
"726","RPS24","RPS24","P62847",1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"727","RPS26","RPS26","P62854",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"728","RPS28","RPS28","P62857",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"729","GNB1","GNB1","P62873",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"730","GNB2","GNB2","P62879",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
"731","RPL30","RPL30","P62888",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
"732","RPL10A","RPL10A","P62906",1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
"733","RPL32","RPL32","P62910",1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1
"734","RPL11","RPL11","P62913",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"735","RPL8","RPL8","P62917",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"736","RPS27A","RPS27A","P62979",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
"737","GRB2","GRB2","P62993",1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
"738","RAC1","RAC1","P63000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"739","AP2B1","AP2B1","P63010",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"740","GNAI1","GNAI1","P63096",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"741","DYNLL1","DYNLL1","P63167",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
"742","SKP1","SKP1","P63208",1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
"743","EIF5A","EIF5A","P63241",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"744","YBX1","YBX1","P67809",1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0
"745","SEC11A","SEC11A","P67812",1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1
"746","CSNK2B","CSNK2B","P67870",1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"747","UBE2L3","UBE2L3","P68036",1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0
"748","CSNK2A1","CSNK2A1","P68400",1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0
"749","H3C1","HIST1H3A","P68431",1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1
"750","CXADR","CXADR","P78310",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"751","SIRPA","SIRPA","P78324",1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
"752","EIF4G2","EIF4G2","P78344",1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"753","CCT2","CCT2","P78371",1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1
"754","GSTO1","GSTO1","P78417",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"755","PRKDC","PRKDC","P78527",1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0
"756","HLA-DRB3","HLA-DRB3","P79483",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"757","NUCB2","NUCB2","P80303",1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0
"758","ARF5","ARF5","P84085",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
"759","RHOG","RHOG","P84095",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"760","H3-3A","H3F3A","P84243",1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"761","FBLN2","FBLN2","P98095",1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"762","EFNB1","EFNB1","P98172",1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1
"763","MPP1","MPP1","Q00013",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
"764","PITPNA","PITPNA","Q00169",1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
"765","SLC25A3","SLC25A3","Q00325",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"766","PURA","PURA","Q00577",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"767","REEP5","REEP5","Q00765",1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0
"768","HNRNPU","HNRNPU","Q00839",1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0
"769","SPTBN1","SPTBN1","Q01082",1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0
"770","FABP5","FABP5","Q01469",1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
"771","IFITM3","IFITM3","Q01628",1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
"772","SLC7A5","SLC7A5","Q01650",1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0
"773","PLCB3","PLCB3","Q01970",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
"774","RPL18A","RPL18A","Q02543",1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"775","FKBP4","FKBP4","Q02790",1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0
"776","PLOD1","PLOD1","Q02809",1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1
"777","NUCB1","NUCB1","Q02818",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"778","RPL6","RPL6","Q02878",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"779","AKAP12","AKAP12","Q02952",1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0
"780","SLC25A11","SLC25A11","Q02978",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"781","CAV1","CAV1","Q03135",1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
"782","TNFAIP2","TNFAIP2","Q03169",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"783","PLAUR","PLAUR","Q03405",1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0
"784","TAP1","TAP1","Q03518",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
"785","TAP2","TAP2","Q03519",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"786","EIF4G1","EIF4G1","Q04637",1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
"787","GLO1","GLO1","Q04760",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
"788","YWHAH","YWHAH","Q04917",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"789","KDSR","KDSR","Q06136",1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
"790","PSME1","PSME1","Q06323",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
"791","PRDX1","PRDX1","Q06830",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
"792","RPL18","RPL18","Q07020",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"793","C1QBP","C1QBP","Q07021",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"794","CKAP4","CKAP4","Q07065",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1
"795","KHDRBS1","KHDRBS1","Q07666",1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
"796","LRP1","LRP1","Q07954",1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1
"797","ARHGAP1","ARHGAP1","Q07960",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"798","TGM3","TGM3","Q08188",1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0
"799","DHX9","DHX9","Q08211",1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
"800","CRYZ","CRYZ","Q08257",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"801","GOLGA3","GOLGA3","Q08378",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"802","GOLGA2","GOLGA2","Q08379",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"803","MFGE8","MFGE8","Q08431",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"804","AHNAK","AHNAK","Q09666",1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
"805","GALNT2","GALNT2","Q10471",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"806","GALNT1","GALNT1","Q10472",1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"807","AP1B1","AP1B1","Q10567",1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
"808","BST1","BST1","Q10588",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"809","BST2","BST2","Q10589",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"810","TWF1","TWF1","Q12792",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
"811","ASPH","ASPH","Q12797",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"812","FSTL1","FSTL1","Q12841",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813","STX4","STX4","Q12846",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
"814","FAP","FAP","Q12884",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
"815","LMAN2","LMAN2","Q12907",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"816","PTPRJ","PTPRJ","Q12913",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"817","EPS8","EPS8","Q12929",1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
"818","DLG1","DLG1","Q12959",1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0
"819","PTP4A2","PTP4A2","Q12974",1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0
"820","ECH1","ECH1","Q13011",1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
