"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1756","ACSL1","ACSL1","P33121",5498.2,0,0,110690,0
"1757","KIF5B","KIF5B","P33176",1827100,0,1312000,268010,65989
"1758","LSP1","LSP1","P33241",0,0,0,0,0
"1759","DUT","DUT","P33316",0,0,0,0,0
"1760","ABCC1","ABCC1","P33527",34122,0,59409,0,0
"1761","ABCD1","ABCD1","P33897",0,0,0,0,0
"1762","MAN1A1","MAN1A1","P33908",123730,0,12218,36081,45418
"1763","KDELR2","KDELR2","P33947",75326,0,48689,0,0
"1764","MCM4","MCM4","P33991",0,0,0,0,0
"1765","MCM5","MCM5","P33992",0,0,0,0,0
"1766","MCM7","MCM7","P33993",0,0,0,0,0
"1767","RNASE4","RNASE4","P34096",0,0,0,0,0
"1768","SDC2","SDC2","P34741",59083,0,45597,0,0
"1769","CD68","CD68","P34810",0,0,0,0,0
"1770","SHMT1","SHMT1","P34896",15227,0,0,39066,0
"1771","SHMT2","SHMT2","P34897",0,0,0,0,0
"1772","EVI2B","EVI2B","P34910",0,42577,0,0,0
"1773","EPHX2","EPHX2","P34913",0,0,0,121420,0
"1774","HSPA1L","HSPA1L","P34931",0,0,0,0,0
"1775","HSPA4","HSPA4","P34932",397070,10448,931220,182640,0
"1776","GRK5","GRK5","P34947",84643,0,88459,0,0
"1777","MPI","MPI","P34949",3772.2,0,0,155980,0
"1778","GPC1","GPC1","P35052",59902,0,0,0,0
"1779","BTC","BTC","P35070",16900,0,33149,0,0
"1780","PFN2","PFN2","P35080",0,0,0,40880,0
"1781","CTNNA1","CTNNA1","P35221",1642900,208650,3231300,199450,34049
"1782","CTNNB1","CTNNB1","P35222",494280,52998,573910,87913,0
"1783","NOS2","NOS2","P35228",0,0,0,0,0
"1784","PHB1","PHB","P35232",28308,0,0,0,0
"1785","SERPINB6","SERPINB6","P35237",37566,56367,111470,1093200,0
"1786","NF2","NF2","P35240",10506,0,0,615710,0
