"","category","marker","Gene.name.updated","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11"
"17","cat1","GNA15","GNA15",0,0,0,407.05,0,0,0,0,2686.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","cat1","GNAL","GNAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","cat1","GNAS","GNAS",72520,61354,70828,130600,74241,19505,91567,82813,217710,37405,92833,28864,20486,11224,37227,21471,14171,20215,9065.3,10715,12230,35601,0,0,0,0,0,0,0,0,0,0,0
"20","cat1","GNB1","GNB1",597060,532070,751610,646550,750860,498930,516890,683480,1191700,207440,559050,54145,85522,66888,147330,87889,75394,71951,63432,60619,60218,98639,0,0,0,0,0,0,0,0,0,0,5622.1
"21","cat1","GNB2","GNB2",906360,553570,1572100,1161300,429140,448560,1074600,1232300,2343800,474410,978970,172910,220410,131880,361890,187750,248460,271470,157710,92390,93606,312680,0,0,0,0,1376.7,0,0,3610.2,0,0,0
"22","cat1","GNB3","GNB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","cat1","GNB4","GNB4",105740,58833,202250,210640,90286,37970,135000,119530,513460,60413,60306,10310,5449.9,9727.8,26151,0,34737,0,0,4396.8,4973.9,3449.8,0,0,0,0,0,0,0,0,0,0,0
"24","cat1","GNB5","GNB5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","cat1","GNGT1","GNGT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","cat1","GNGT2","GNGT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","cat1","GNG2","GNG2",17194,25957,34971,98606,10622,25281,69212,80074,158710,10543,53937,41282,70565,49854,71272,17560,7073.4,40509,0,39775,37438,50692,0,0,0,0,0,0,0,0,0,0,0
"28","cat1","GNG3","GNG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","cat1","GNG4","GNG4",0,0,0,1479.7,0,0,48194,0,24906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","cat1","GNG5","GNG5",28125,116730,52223,306630,65917,47172,282110,527970,1117700,86276,380170,0,0,0,0,0,0,0,5223.3,0,7946.1,13181,0,0,0,0,0,0,0,0,0,0,0
"31","cat1","GNG7","GNG7",2811.2,24242,18736,4856,12566,19513,4028.2,0,5499.6,0,389.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","cat1","GNG8","GNG8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","cat1","GNG10","GNG10",34154,100450,5055.8,43519,233560,77718,31521,49958,215330,9304.4,59310,6132.9,2178.6,0,11481,36426,0,0,0,0,0,27133,0,0,0,0,0,0,0,0,0,0,0
"34","cat1","GNG11","GNG11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","cat1","GNG12","GNG12",179780,215190,495180,859180,211850,297820,847680,540720,652210,327940,511950,180910,61605,57407,29358,117610,97709,327970,33835,19308,26082,149790,0,0,0,0,0,0,0,0,0,0,1156.6
"36","cat1","GNG13","GNG13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
