"","Suggested.Symbol","ID","cut_sec","p.value_sec","HR_sec","LCL_sec","UCL_sec","adj.p.val_sec","cut_uc","p.value_uc","HR_uc","LCL_uc","UCL_uc","adj.p.val_uc"
"16","PEX11B","O96011",7666.5,0.164902205147477,2.7997554278602,0.615858074717265,12.7279819452417,0.317311202634681,65660,0.15409726908862,3.05350676994526,0.60841057119961,15.3250190504046,0.166850146530437
"17","MT-CO2","P00403",64148.5,0.0205199309723412,0.161064077341112,0.0283129138081807,0.916247518199567,0.180891765684357,127487,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"18","CD8A","P01732",36656,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,387495,0.000437578021208251,4401124859.64859,0,Inf,0.00396400249203887
"19","SOD2","P04179",20802,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.097129516000535,166615,0.0228518633443142,0.117726137208579,0.013939273800081,0.994272985869079,0.0358774254505733
"20","SERPINB2","P05120",38143.2,0.00464475643332229,12.7704635507455,1.38208235897645,117.999291606397,0.0810251955590667,2159900,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"21","UROD","P06132",28666.5,0.742325646578294,1.43286256682165,0.165970995226533,12.3702043998499,0.79282398988294,13770,0.143599984235401,0.332513100170346,0.0712510593618538,1.55176586530991,0.156563871701097
"22","CD3E","P07766",42846,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,386525,0.000437578021208251,4401124859.64859,0,Inf,0.00396400249203887
"23","PLEK","P08567",42111.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,2498450,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"24","ACAA1","P09110",69680,0.361812618291102,2.00113390602136,0.438074425257934,9.14122504976285,0.461819313041442,5522.75,0.000437578021208251,2.27214639864333e-10,0,Inf,0.00396400249203887
"25","CD48","P09326",8918,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,1741155,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"26","DLD","P09622",145110.5,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,3584.2,0.00156540225800261,7.5805574842845e-10,0,Inf,0.00396400249203887
"27","TACSTD2","P09758",228565,0.0508166411157119,4.79552915143008,0.854036974329237,26.9275225001561,0.180891765684357,4937450,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"28","ALOX5","P09917",14959,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,6387,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"29","DLAT","P10515",107204.5,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,6238,0.00567160175902115,0.071627205100409,0.00634928353139181,0.808037077747483,0.0125414292417792
"30","CD37","P11049",25693.5,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,564970,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"31","ACP2","P11117",41031,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,280785,0.0237645137829549,7.97467993851549e-10,0,Inf,0.0369408778606328
